['00269', '00269_0002099_cnn_inception100.csv', '4.65722e-06']
['00063', '00063_0008375_cnn_inception100.csv', '0.0032222']
['00324', '00324_0003680_cnn_inception100.csv', '0.0103294']
['00370', '00370_0001229_cnn_inception100.csv', '0.00102865']
['00051', '00051_0003431_cnn_inception100.csv', '0.00543161']
['00184', '00184_0004376_cnn_inception100.csv', '0.00217124']
['00320', '00320_0004814_cnn_inception100.csv', '0.00246648']
['00410', '00410_0009706_cnn_inception100.csv', '5.62466e-05']
['00042', '00042_0008935_cnn_inception100.csv', '0.0688217']
['00804', '00804_0005644_cnn_inception100.csv', '0.0212922']
['00633', '00633_0000076_cnn_inception100.csv', '0.000709893']
['00979', '00979_0006745_cnn_inception100.csv', '0.00262662']
['00715', '00715_0002416_cnn_inception100.csv', '0.00361907']
['00940', '00940_0002193_cnn_inception100.csv', '0.00290492']
['00965', '00965_0001069_cnn_inception100.csv', '0.00235063']
['00706', '00706_0002020_cnn_inception100.csv', '0.00794618']
['00954', '00954_0001471_cnn_inception100.csv', '0.00060425']
['00556', '00556_0003134_cnn_inception100.csv', '0.00529804']
['00990', '00990_0001370_cnn_inception100.csv', '0.000347443']
['00880', '00880_0004505_cnn_inception100.csv', '0.00265624']
['00621', '00621_0010546_cnn_inception100.csv', '0.00247296']
['00959', '00959_0000660_cnn_inception100.csv', '0.00188863']
['00615', '00615_0006560_cnn_inception100.csv', '0.309653']
['01203', '01203_0004408_cnn_inception100.csv', '0.175787']
['01085', '01085_0003540_cnn_inception100.csv', '0.00210658']
['01242', '01242_0005281_cnn_inception100.csv', '0.0101244']
['01218', '01218_0003171_cnn_inception100.csv', '0.0371146']
['01390', '01390_0009704_cnn_inception100.csv', '0.0413107']
['01102', '01102_0000446_cnn_inception100.csv', '0.00057948']
['01132', '01132_0003456_cnn_inception100.csv', '0.00475188']
['01135', '01135_0006504_cnn_inception100.csv', '0.00097932']
['01290', '01290_0028137_cnn_inception100.csv', '0.0028977']
['01434', '01434_0001176_cnn_inception100.csv', '0.00722638']
['01480', '01480_0012533_cnn_inception100.csv', '0.000639429']
['01444', '01444_0002177_cnn_inception100.csv', '0.00252062']
['01770', '01770_0002583_cnn_inception100.csv', '0.0273756']
['01976', '01976_0008890_cnn_inception100.csv', '0.00259875']
['01924', '01924_0025790_cnn_inception100.csv', '2.11676e-05']
['01802', '01802_0005595_cnn_inception100.csv', '0.0282759']
['01858', '01858_0005610_cnn_inception100.csv', '0.00272904']
['01829', '01829_0001240_cnn_inception100.csv', '0.000724353']
['01906', '01906_0001504_cnn_inception100.csv', '0.00172242']
['01708', '01708_0005749_cnn_inception100.csv', '0.00626295']
['01569', '01569_0001387_cnn_inception100.csv', '0.0325342']
['01524', '01524_0011453_cnn_inception100.csv', '0.00208286']
['01919', '01919_0005529_cnn_inception100.csv', '0.00268611']
['01929', '01929_0002899_cnn_inception100.csv', '0.000652554']
['01636', '01636_0006065_cnn_inception100.csv', '0.00527467']
['01838', '01838_0012363_cnn_inception100.csv', '0.000524813']
['01678', '01678_0010557_cnn_inception100.csv', '0.000690807']
['01766', '01766_0002634_cnn_inception100.csv', '0.0017688']
['01509', '01509_0007116_cnn_inception100.csv', '0.0031752']
['01507', '01507_0009954_cnn_inception100.csv', '0.000102861']
['01756', '01756_0008271_cnn_inception100.csv', '0.286554']
['01767', '01767_0003146_cnn_inception100.csv', '0.000843275']
['01501', '01501_0002627_cnn_inception100.csv', '0.00154831']
['02553', '02553_0010378_cnn_inception100.csv', '0.0502249']
['02768', '02768_0003161_cnn_inception100.csv', '0.00253766']
['02704', '02704_0003491_cnn_inception100.csv', '0.000335282']
['02585', '02585_0001065_cnn_inception100.csv', '0.00113414']
['02997', '02997_0000399_cnn_inception100.csv', '0.00200881']
['02592', '02592_0006962_cnn_inception100.csv', '0.00772729']
['02620', '02620_0001217_cnn_inception100.csv', '0.00144889']
['02850', '02850_0002123_cnn_inception100.csv', '0.00135691']
['02741', '02741_0001283_cnn_inception100.csv', '0.000760154']
['02162', '02162_0001025_cnn_inception100.csv', '0.00697734']
['02198', '02198_0005782_cnn_inception100.csv', '0.00122712']
['02021', '02021_0004124_cnn_inception100.csv', '0.00192614']
['02310', '02310_0009359_cnn_inception100.csv', '0.0025014']
['02339', '02339_0006937_cnn_inception100.csv', '0.00243102']
['02135', '02135_0007931_cnn_inception100.csv', '0.00452492']
['02424', '02424_0006158_cnn_inception100.csv', '0.0592606']
['02217', '02217_0002329_cnn_inception100.csv', '0.00998567']
['02413', '02413_0004194_cnn_inception100.csv', '0.0114171']
['02440', '02440_0001109_cnn_inception100.csv', '0.00057141']
['02063', '02063_0006067_cnn_inception100.csv', '0.00900549']
['02340', '02340_0013812_cnn_inception100.csv', '0.000226378']
['02187', '02187_0002745_cnn_inception100.csv', '0.000237428']
['03444', '03444_0003437_cnn_inception100.csv', '0.0214259']
['03277', '03277_0000867_cnn_inception100.csv', '0.0036168']
['03165', '03165_0003694_cnn_inception100.csv', '0.00115756']
['03394', '03394_0002598_cnn_inception100.csv', '0.000298467']
['03393', '03393_0006290_cnn_inception100.csv', '0.00147623']
['03170', '03170_0002616_cnn_inception100.csv', '0.00772604']
['03004', '03004_0005488_cnn_inception100.csv', '0.00022925']
['03094', '03094_0013758_cnn_inception100.csv', '0.000256415']
['03273', '03273_0015269_cnn_inception100.csv', '0.0123924']
['03082', '03082_0001651_cnn_inception100.csv', '0.000469446']
['03446', '03446_0003926_cnn_inception100.csv', '0.00144924']
['03364', '03364_0022542_cnn_inception100.csv', '4.39406e-05']
['03127', '03127_0003162_cnn_inception100.csv', '0.000911158']
['03346', '03346_0009604_cnn_inception100.csv', '0.00536752']
['03371', '03371_0004487_cnn_inception100.csv', '0.00140567']
['03096', '03096_0004648_cnn_inception100.csv', '0.369307']
['03431', '03431_0006228_cnn_inception100.csv', '0.00206522']
['03870', '03870_0003439_cnn_inception100.csv', '0.00346935']
['03683', '03683_0007783_cnn_inception100.csv', '0.000543845']
['03995', '03995_0000316_cnn_inception100.csv', '0.00166521']
['03960', '03960_0005142_cnn_inception100.csv', '0.0121181']
['03993', '03993_0001443_cnn_inception100.csv', '0.000720553']
['03585', '03585_0000619_cnn_inception100.csv', '0.00269638']
['03910', '03910_0017699_cnn_inception100.csv', '0.00679222']
['03584', '03584_0005484_cnn_inception100.csv', '0.00014167']
['03838', '03838_0011021_cnn_inception100.csv', '0.00323503']
['03675', '03675_0003834_cnn_inception100.csv', '0.00163194']
['03687', '03687_0003185_cnn_inception100.csv', '0.000328403']
['03550', '03550_0003069_cnn_inception100.csv', '0.0258509']
['03588', '03588_0001823_cnn_inception100.csv', '0.0147395']
['03529', '03529_0001355_cnn_inception100.csv', '0.00486044']
['03527', '03527_0000805_cnn_inception100.csv', '0.00253764']
['03666', '03666_0004343_cnn_inception100.csv', '0.015878']
['04039', '04039_0006090_cnn_inception100.csv', '0.000669602']
['04064', '04064_0001440_cnn_inception100.csv', '0.00482509']
['04340', '04340_0005971_cnn_inception100.csv', '0.636555']
['04346', '04346_0009867_cnn_inception100.csv', '0.00465655']
['04308', '04308_0002713_cnn_inception100.csv', '0.0171433']
['04219', '04219_0003938_cnn_inception100.csv', '0.00582136']
['04083', '04083_0006571_cnn_inception100.csv', '9.82488e-05']
['04211', '04211_0001223_cnn_inception100.csv', '0.0015721']
['04050', '04050_0003967_cnn_inception100.csv', '3.54719e-05']
['04388', '04388_0001639_cnn_inception100.csv', '0.00916316']
['04123', '04123_0004070_cnn_inception100.csv', '0.00076795']
['04106', '04106_0007021_cnn_inception100.csv', '2.16842e-05']
['04332', '04332_0002140_cnn_inception100.csv', '0.00100529']
['04480', '04480_0013242_cnn_inception100.csv', '0.000884079']
['04481', '04481_0022772_cnn_inception100.csv', '0.0214983']
['04223', '04223_0005634_cnn_inception100.csv', '0.0028834']
['04777', '04777_0002681_cnn_inception100.csv', '0.00792797']
['04589', '04589_0001810_cnn_inception100.csv', '0.00204725']
