['00406', '00406_0001974_cnn_inception100.csv', '0.000308006']
['00268', '00268_0005370_cnn_inception100.csv', '0.00116945']
['00234', '00234_0003817_cnn_inception100.csv', '0.00100982']
['00205', '00205_0006202_cnn_inception100.csv', '0.0299929']
['00063', '00063_0008375_cnn_inception100.csv', '0.00386799']
['00260', '00260_0018412_cnn_inception100.csv', '0.0018334']
['00436', '00436_0006181_cnn_inception100.csv', '0.0719178']
['00409', '00409_0003209_cnn_inception100.csv', '0.00498783']
['00111', '00111_0004392_cnn_inception100.csv', '0.00402605']
['00341', '00341_0000265_cnn_inception100.csv', '0.00378309']
['00187', '00187_0000821_cnn_inception100.csv', '0.000969524']
['00128', '00128_0024589_cnn_inception100.csv', '0.00142033']
['00322', '00322_0000977_cnn_inception100.csv', '0.103679']
['00309', '00309_0005160_cnn_inception100.csv', '0.0010396']
['00134', '00134_0002361_cnn_inception100.csv', '0.0234859']
['00482', '00482_0003890_cnn_inception100.csv', '0.000624833']
['00478', '00478_0008838_cnn_inception100.csv', '0.000116442']
['00076', '00076_0006016_cnn_inception100.csv', '0.00103043']
['00085', '00085_0002099_cnn_inception100.csv', '0.00381827']
['00479', '00479_0006964_cnn_inception100.csv', '0.0549346']
['00484', '00484_0000210_cnn_inception100.csv', '0.00126961']
['00057', '00057_0019078_cnn_inception100.csv', '0.00049119']
['00468', '00468_0001887_cnn_inception100.csv', '0.000667321']
['00326', '00326_0004110_cnn_inception100.csv', '0.0275101']
['00358', '00358_0010971_cnn_inception100.csv', '0.0237692']
['00443', '00443_0006324_cnn_inception100.csv', '0.0194508']
['00018', '00018_0003330_cnn_inception100.csv', '0.000689753']
['00020', '00020_0000440_cnn_inception100.csv', '0.000270269']
['00426', '00426_0003748_cnn_inception100.csv', '0.0040612']
['00247', '00247_0001167_cnn_inception100.csv', '0.00352704']
['00850', '00850_0003915_cnn_inception100.csv', '0.000483133']
['00802', '00802_0002465_cnn_inception100.csv', '0.00413623']
['00924', '00924_0000281_cnn_inception100.csv', '0.00536476']
['00778', '00778_0003570_cnn_inception100.csv', '0.00163264']
['00984', '00984_0003070_cnn_inception100.csv', '0.0021306']
['00983', '00983_0004973_cnn_inception100.csv', '0.00133786']
['00587', '00587_0000088_cnn_inception100.csv', '0.00437294']
['00922', '00922_0001608_cnn_inception100.csv', '0.00212902']
['00949', '00949_0000532_cnn_inception100.csv', '0.00163738']
['00962', '00962_0007775_cnn_inception100.csv', '0.00341894']
['00567', '00567_0003346_cnn_inception100.csv', '0.000268913']
['00594', '00594_0004169_cnn_inception100.csv', '0.000318442']
['00700', '00700_0000982_cnn_inception100.csv', '0.00197427']
['00503', '00503_0002695_cnn_inception100.csv', '0.0376524']
['00762', '00762_0004284_cnn_inception100.csv', '0.000762929']
['00901', '00901_0003534_cnn_inception100.csv', '0.000183991']
['00887', '00887_0001360_cnn_inception100.csv', '0.0037471']
['00675', '00675_0002559_cnn_inception100.csv', '0.00873234']
['00672', '00672_0003499_cnn_inception100.csv', '0.0404164']
['00611', '00611_0004399_cnn_inception100.csv', '0.00136854']
['00843', '00843_0001005_cnn_inception100.csv', '0.0281887']
['00674', '00674_0003441_cnn_inception100.csv', '0.0128286']
['00898', '00898_0000739_cnn_inception100.csv', '0.00898166']
['00636', '00636_0002189_cnn_inception100.csv', '0.000452577']
['00665', '00665_0005716_cnn_inception100.csv', '0.121826']
['00786', '00786_0002801_cnn_inception100.csv', '0.000228273']
['00788', '00788_0004235_cnn_inception100.csv', '0.00116988']
['00576', '00576_0002175_cnn_inception100.csv', '0.000299848']
['00718', '00718_0014249_cnn_inception100.csv', '0.00664737']
['00972', '00972_0008589_cnn_inception100.csv', '0.0128188']
['00926', '00926_0000210_cnn_inception100.csv', '0.000109976']
['00905', '00905_0001110_cnn_inception100.csv', '0.000907049']
['00649', '00649_0001792_cnn_inception100.csv', '0.0002271']
['00883', '00883_0000198_cnn_inception100.csv', '0.000664207']
['00884', '00884_0001564_cnn_inception100.csv', '0.00252917']
['00625', '00625_0001511_cnn_inception100.csv', '0.000758185']
['00814', '00814_0000427_cnn_inception100.csv', '0.0037496']
['00615', '00615_0006560_cnn_inception100.csv', '0.000782077']
['00847', '00847_0003144_cnn_inception100.csv', '0.00938016']
['00849', '00849_0028147_cnn_inception100.csv', '0.00271995']
['01181', '01181_0002958_cnn_inception100.csv', '4.85651e-05']
['01312', '01312_0001042_cnn_inception100.csv', '0.0163045']
['01431', '01431_0004310_cnn_inception100.csv', '0.000679387']
['01267', '01267_0001171_cnn_inception100.csv', '0.00108001']
['01490', '01490_0001399_cnn_inception100.csv', '0.00130393']
['01054', '01054_0002271_cnn_inception100.csv', '0.00036351']
['01259', '01259_0002285_cnn_inception100.csv', '0.00465614']
['01226', '01226_0002943_cnn_inception100.csv', '0.0758216']
['01151', '01151_0006055_cnn_inception100.csv', '0.00204219']
['01353', '01353_0002369_cnn_inception100.csv', '0.0113858']
['01192', '01192_0004227_cnn_inception100.csv', '0.0101344']
['01365', '01365_0000110_cnn_inception100.csv', '0.020458']
['01388', '01388_0003549_cnn_inception100.csv', '0.00102467']
['01184', '01184_0008170_cnn_inception100.csv', '0.00440176']
['01311', '01311_0001050_cnn_inception100.csv', '0.00118695']
['01327', '01327_0003063_cnn_inception100.csv', '0.00688404']
['01112', '01112_0005496_cnn_inception100.csv', '0.000240875']
['01457', '01457_0008342_cnn_inception100.csv', '0.0287652']
['01265', '01265_0002297_cnn_inception100.csv', '2.60361e-05']
['01434', '01434_0001176_cnn_inception100.csv', '0.000897219']
['01480', '01480_0012533_cnn_inception100.csv', '0.00911071']
['01416', '01416_0000008_cnn_inception100.csv', '0.00255868']
['01278', '01278_0002773_cnn_inception100.csv', '8.45596e-06']
['01081', '01081_0005273_cnn_inception100.csv', '0.0240687']
['01475', '01475_0000950_cnn_inception100.csv', '0.00263882']
['01215', '01215_0005878_cnn_inception100.csv', '0.0146594']
['01027', '01027_0001514_cnn_inception100.csv', '0.0302227']
['01074', '01074_0002844_cnn_inception100.csv', '0.0182216']
['01284', '01284_0009326_cnn_inception100.csv', '0.0015301']
['01357', '01357_0004507_cnn_inception100.csv', '0.00116016']
['01587', '01587_0001290_cnn_inception100.csv', '0.0253072']
['01526', '01526_0000845_cnn_inception100.csv', '0.00351139']
['01946', '01946_0002390_cnn_inception100.csv', '0.0015202']
['01970', '01970_0001452_cnn_inception100.csv', '0.000384097']
['01983', '01983_0004287_cnn_inception100.csv', '0.00112566']
['01858', '01858_0005610_cnn_inception100.csv', '0.00855538']
['01860', '01860_0037165_cnn_inception100.csv', '0.0215106']
['01866', '01866_0009901_cnn_inception100.csv', '0.0254203']
['01873', '01873_0003651_cnn_inception100.csv', '0.000248959']
