['00295', '00295_0004537_cnn_inception100.csv', '0.000778901']
['00062', '00062_0005274_cnn_inception100.csv', '0.00212801']
['00364', '00364_0011872_cnn_inception100.csv', '0.00140502']
['00447', '00447_0001427_cnn_inception100.csv', '0.000260864']
['00493', '00493_0002149_cnn_inception100.csv', '0.0017178']
['00197', '00197_0002928_cnn_inception100.csv', '0.00278051']
['00277', '00277_0004566_cnn_inception100.csv', '0.00280599']
['00894', '00894_0002120_cnn_inception100.csv', '0.00383182']
['00860', '00860_0001189_cnn_inception100.csv', '0.00308215']
['00755', '00755_0016227_cnn_inception100.csv', '0.00085335']
['00610', '00610_0002285_cnn_inception100.csv', '0.0050165']
['00875', '00875_0003924_cnn_inception100.csv', '0.00609961']
['00620', '00620_0000632_cnn_inception100.csv', '0.00165646']
['00663', '00663_0016160_cnn_inception100.csv', '0.0042281']
['00728', '00728_0001627_cnn_inception100.csv', '0.00175853']
['00992', '00992_0012839_cnn_inception100.csv', '0.00176304']
['00848', '00848_0004029_cnn_inception100.csv', '0.0214318']
['01324', '01324_0004535_cnn_inception100.csv', '0.003916']
['01491', '01491_0019308_cnn_inception100.csv', '0.00458758']
['01430', '01430_0006229_cnn_inception100.csv', '0.000379738']
['01167', '01167_0004308_cnn_inception100.csv', '0.00800399']
['01399', '01399_0001790_cnn_inception100.csv', '0.00537669']
['01306', '01306_0004308_cnn_inception100.csv', '0.0106608']
['01240', '01240_0004765_cnn_inception100.csv', '0.00208875']
['01426', '01426_0001128_cnn_inception100.csv', '0.00428178']
['01922', '01922_0000831_cnn_inception100.csv', '0.00957764']
['01529', '01529_0003971_cnn_inception100.csv', '0.00275789']
['01910', '01910_0003426_cnn_inception100.csv', '0.00666529']
['01903', '01903_0019481_cnn_inception100.csv', '0.0230378']
['02757', '02757_0007439_cnn_inception100.csv', '0.00181033']
['02995', '02995_0037517_cnn_inception100.csv', '0.00500368']
['02670', '02670_0008420_cnn_inception100.csv', '0.00202057']
['02745', '02745_0031928_cnn_inception100.csv', '0.00251204']
['02798', '02798_0006630_cnn_inception100.csv', '0.000245293']
['02604', '02604_0007867_cnn_inception100.csv', '0.00286663']
['02586', '02586_0000190_cnn_inception100.csv', '0.00222158']
['02108', '02108_0001391_cnn_inception100.csv', '0.00191736']
['02358', '02358_0004520_cnn_inception100.csv', '0.00287462']
['02395', '02395_0019116_cnn_inception100.csv', '0.00470056']
['02473', '02473_0014927_cnn_inception100.csv', '0.00322988']
['02237', '02237_0011232_cnn_inception100.csv', '0.00178576']
['02022', '02022_0006849_cnn_inception100.csv', '0.00538961']
['02218', '02218_0020881_cnn_inception100.csv', '0.00190213']
['02024', '02024_0001475_cnn_inception100.csv', '0.00188956']
['02001', '02001_0008767_cnn_inception100.csv', '0.0083063']
['02037', '02037_0003598_cnn_inception100.csv', '0.00242964']
['02453', '02453_0001874_cnn_inception100.csv', '0.0036908']
['03361', '03361_0011260_cnn_inception100.csv', '0.00132351']
['03320', '03320_0013023_cnn_inception100.csv', '0.00269614']
['03230', '03230_0016424_cnn_inception100.csv', '0.00242439']
['03468', '03468_0003039_cnn_inception100.csv', '0.00146092']
['03286', '03286_0001986_cnn_inception100.csv', '0.00212343']
['03189', '03189_0000698_cnn_inception100.csv', '0.00387035']
['03128', '03128_0043879_cnn_inception100.csv', '0.00165676']
['03202', '03202_0005757_cnn_inception100.csv', '0.00132544']
['03564', '03564_0000363_cnn_inception100.csv', '0.000408996']
['03761', '03761_0001483_cnn_inception100.csv', '0.00625674']
['03899', '03899_0001212_cnn_inception100.csv', '0.204629']
['03619', '03619_0002694_cnn_inception100.csv', '0.00443751']
['03731', '03731_0003186_cnn_inception100.csv', '0.00274587']
['03762', '03762_0000960_cnn_inception100.csv', '0.00142414']
['03906', '03906_0004672_cnn_inception100.csv', '0.000389686']
['03835', '03835_0006217_cnn_inception100.csv', '0.00105488']
['03857', '03857_0010159_cnn_inception100.csv', '0.0116029']
['04454', '04454_0000363_cnn_inception100.csv', '0.003011']
['04205', '04205_0001144_cnn_inception100.csv', '0.00222046']
['04430', '04430_0000478_cnn_inception100.csv', '0.00817294']
['04349', '04349_0014810_cnn_inception100.csv', '0.00156038']
['04315', '04315_0006552_cnn_inception100.csv', '0.00289221']
['04217', '04217_0004180_cnn_inception100.csv', '0.0453883']
['04478', '04478_0003351_cnn_inception100.csv', '0.00460476']
['04344', '04344_0000629_cnn_inception100.csv', '0.00402414']
['04122', '04122_0029738_cnn_inception100.csv', '0.00607037']
['04197', '04197_0008849_cnn_inception100.csv', '0.00152783']
['04392', '04392_0005314_cnn_inception100.csv', '0.00257628']
['04487', '04487_0002706_cnn_inception100.csv', '0.00159369']
['04282', '04282_0003119_cnn_inception100.csv', '0.000445316']
['04692', '04692_0008207_cnn_inception100.csv', '0.00694924']
['04894', '04894_0004093_cnn_inception100.csv', '0.00115852']
['04634', '04634_0000579_cnn_inception100.csv', '0.00329393']
['04770', '04770_0004625_cnn_inception100.csv', '0.000886289']
['04543', '04543_0007856_cnn_inception100.csv', '0.00552718']
['04755', '04755_0006598_cnn_inception100.csv', '0.000847754']
['04843', '04843_0016249_cnn_inception100.csv', '0.0481465']
['04686', '04686_0002647_cnn_inception100.csv', '0.0239375']
['04691', '04691_0000908_cnn_inception100.csv', '0.00358249']
['04637', '04637_0000484_cnn_inception100.csv', '0.00210248']
['04655', '04655_0001333_cnn_inception100.csv', '0.000193998']
['04703', '04703_0014858_cnn_inception100.csv', '0.0112717']
['04615', '04615_0000785_cnn_inception100.csv', '0.00155503']
['05401', '05401_0038919_cnn_inception100.csv', '0.00215098']
['05465', '05465_0002547_cnn_inception100.csv', '0.00167852']
['05289', '05289_0011712_cnn_inception100.csv', '0.0017624']
['05280', '05280_0002008_cnn_inception100.csv', '0.00609171']
['05274', '05274_0005960_cnn_inception100.csv', '0.00127306']
['05389', '05389_0015919_cnn_inception100.csv', '0.00134704']
['05326', '05326_0010030_cnn_inception100.csv', '0.000138423']
['05095', '05095_0001004_cnn_inception100.csv', '0.00181569']
['05442', '05442_0000653_cnn_inception100.csv', '0.00503168']
['05361', '05361_0002197_cnn_inception100.csv', '0.00669664']
['05811', '05811_0000571_cnn_inception100.csv', '0.000581145']
['05953', '05953_0000451_cnn_inception100.csv', '0.0090217']
['05700', '05700_0002237_cnn_inception100.csv', '0.00169487']
['05557', '05557_0001162_cnn_inception100.csv', '0.00161504']
['05989', '05989_0003970_cnn_inception100.csv', '0.00118452']
['05910', '05910_0004052_cnn_inception100.csv', '0.00321937']
['05807', '05807_0009012_cnn_inception100.csv', '0.00633086']
