['00402', '00402_0003426_cnn_inception100.csv', '7.79265e-06']
['00094', '00094_0009274_cnn_inception100.csv', '0.0513005']
['01537', '01537_0000834_cnn_inception100.csv', '0.00549376']
['02917', '02917_0002209_cnn_inception100.csv', '0.000447196']
['03064', '03064_0001869_cnn_inception100.csv', '0.00966191']
['03609', '03609_0002887_cnn_inception100.csv', '0.00199179']
['03636', '03636_0002530_cnn_inception100.csv', '0.00124915']
['03821', '03821_0003038_cnn_inception100.csv', '0.000960507']
['03804', '03804_0001798_cnn_inception100.csv', '0.00111752']
['04097', '04097_0002593_cnn_inception100.csv', '3.63276e-05']
['04444', '04444_0004726_cnn_inception100.csv', '0.00151289']
['05006', '05006_0008962_cnn_inception100.csv', '0.000433272']
['05526', '05526_0010203_cnn_inception100.csv', '3.5865e-05']
['05635', '05635_0000345_cnn_inception100.csv', '0.00268388']
['05676', '05676_0001636_cnn_inception100.csv', '0.00916608']
['06155', '06155_0000639_cnn_inception100.csv', '0.00547852']
['06081', '06081_0004200_cnn_inception100.csv', '0.000277955']
['06252', '06252_0006488_cnn_inception100.csv', '0.000825315']
['06105', '06105_0007786_cnn_inception100.csv', '0.000581434']
['06968', '06968_0009751_cnn_inception100.csv', '0.00449716']
['06704', '06704_0013276_cnn_inception100.csv', '0.00230847']
['06963', '06963_0003416_cnn_inception100.csv', '0.0220954']
['06629', '06629_0023373_cnn_inception100.csv', '3.77383e-05']
