['00491', '00491_0004314_cnn_inception100.csv', '2.94136e-06']
['00391', '00391_0060740_cnn_inception100.csv', '0.00179579']
['00136', '00136_0019106_cnn_inception100.csv', '0.000321982']
['00087', '00087_0000093_cnn_inception100.csv', '0.00153958']
['00489', '00489_0005381_cnn_inception100.csv', '0.00199821']
['00709', '00709_0007916_cnn_inception100.csv', '0.00185897']
['00559', '00559_0000119_cnn_inception100.csv', '0.000346333']
['00772', '00772_0001822_cnn_inception100.csv', '0.000612513']
['00950', '00950_0005836_cnn_inception100.csv', '0.00747859']
['01371', '01371_0001803_cnn_inception100.csv', '0.000728832']
['01118', '01118_0008296_cnn_inception100.csv', '0.00178434']
['01064', '01064_0002073_cnn_inception100.csv', '0.00134532']
['01229', '01229_0003607_cnn_inception100.csv', '0.00257547']
['01310', '01310_0002393_cnn_inception100.csv', '0.00384269']
['01248', '01248_0001028_cnn_inception100.csv', '0.0011349']
['01333', '01333_0000839_cnn_inception100.csv', '0.0276286']
['01527', '01527_0000208_cnn_inception100.csv', '0.00221444']
['01657', '01657_0016330_cnn_inception100.csv', '0.00137988']
['01687', '01687_0004027_cnn_inception100.csv', '0.00168731']
['01907', '01907_0007312_cnn_inception100.csv', '0.0155264']
['01720', '01720_0005856_cnn_inception100.csv', '0.00257883']
['01905', '01905_0008383_cnn_inception100.csv', '0.000757504']
['01992', '01992_0004358_cnn_inception100.csv', '0.00145806']
['02759', '02759_0009295_cnn_inception100.csv', '5.42918e-07']
['02853', '02853_0004058_cnn_inception100.csv', '0.00174902']
['02571', '02571_0016923_cnn_inception100.csv', '0.00273516']
['02738', '02738_0004487_cnn_inception100.csv', '0.00390628']
['02559', '02559_0005257_cnn_inception100.csv', '0.00171218']
['02618', '02618_0005107_cnn_inception100.csv', '0.0161002']
['02355', '02355_0006349_cnn_inception100.csv', '0.00761488']
['02039', '02039_0000113_cnn_inception100.csv', '0.00147309']
['02036', '02036_0005864_cnn_inception100.csv', '0.0173808']
['03020', '03020_0004265_cnn_inception100.csv', '0.0043552']
['03074', '03074_0006489_cnn_inception100.csv', '0.00202498']
['03089', '03089_0000696_cnn_inception100.csv', '0.00152154']
['03017', '03017_0000439_cnn_inception100.csv', '0.0065172']
['03374', '03374_0005404_cnn_inception100.csv', '0.00230438']
['03896', '03896_0003192_cnn_inception100.csv', '0.00185339']
['03696', '03696_0004675_cnn_inception100.csv', '0.0155333']
['03627', '03627_0003414_cnn_inception100.csv', '0.00468495']
['03680', '03680_0044842_cnn_inception100.csv', '0.00122085']
['03645', '03645_0004658_cnn_inception100.csv', '0.00283949']
['03586', '03586_0011871_cnn_inception100.csv', '0.00273897']
['03915', '03915_0000758_cnn_inception100.csv', '0.00121313']
['03693', '03693_0001880_cnn_inception100.csv', '0.000645733']
['03860', '03860_0005569_cnn_inception100.csv', '0.00116681']
['04347', '04347_0014026_cnn_inception100.csv', '0.00992984']
['04158', '04158_0004022_cnn_inception100.csv', '0.0664977']
['04473', '04473_0009292_cnn_inception100.csv', '0.00189463']
['04901', '04901_0007440_cnn_inception100.csv', '0.00326421']
['04991', '04991_0011028_cnn_inception100.csv', '0.00405231']
['04896', '04896_0003003_cnn_inception100.csv', '0.00572643']
['04956', '04956_0028150_cnn_inception100.csv', '0.000679691']
['05406', '05406_0000976_cnn_inception100.csv', '0.00267565']
['05415', '05415_0010385_cnn_inception100.csv', '0.000818052']
['05194', '05194_0003896_cnn_inception100.csv', '0.0036214']
['05114', '05114_0001068_cnn_inception100.csv', '0.00167407']
['05486', '05486_0003099_cnn_inception100.csv', '0.00169132']
['05410', '05410_0000665_cnn_inception100.csv', '0.00102123']
['05109', '05109_0005631_cnn_inception100.csv', '0.00152384']
['05979', '05979_0006538_cnn_inception100.csv', '0.000851047']
['05861', '05861_0001256_cnn_inception100.csv', '0.00346562']
['05616', '05616_0012701_cnn_inception100.csv', '0.00484448']
['05839', '05839_0009714_cnn_inception100.csv', '0.00047513']
['05598', '05598_0004899_cnn_inception100.csv', '0.00114571']
['06500', '06500_0001854_cnn_inception100.csv', '0.000267911']
['06429', '06429_0005371_cnn_inception100.csv', '0.000997252']
['06457', '06457_0003452_cnn_inception100.csv', '0.000383464']
['06218', '06218_0008360_cnn_inception100.csv', '0.00138072']
['06217', '06217_0004331_cnn_inception100.csv', '0.00162276']
['06036', '06036_0004412_cnn_inception100.csv', '0.000618628']
['07271', '07271_0003036_cnn_inception100.csv', '0.00226253']
['07285', '07285_0006977_cnn_inception100.csv', '0.0112791']
['07003', '07003_0004179_cnn_inception100.csv', '0.00831232']
