['00292', '00292_0003647_cnn_inception100.csv', '0.00054932']
['00406', '00406_0001974_cnn_inception100.csv', '0.000302634']
['00234', '00234_0003817_cnn_inception100.csv', '0.000667074']
['00348', '00348_0011173_cnn_inception100.csv', '0.00557066']
['00364', '00364_0011872_cnn_inception100.csv', '0.054388']
['00194', '00194_0000500_cnn_inception100.csv', '0.00455361']
['00046', '00046_0001948_cnn_inception100.csv', '0.00176114']
['00476', '00476_0001167_cnn_inception100.csv', '0.00371551']
['00210', '00210_0005307_cnn_inception100.csv', '0.00350402']
['00115', '00115_0002077_cnn_inception100.csv', '0.00123859']
['00108', '00108_0007691_cnn_inception100.csv', '0.00184049']
['00026', '00026_0005106_cnn_inception100.csv', '0.0670884']
['00850', '00850_0003915_cnn_inception100.csv', '0.00290112']
['00511', '00511_0000915_cnn_inception100.csv', '0.00228936']
['00985', '00985_0000765_cnn_inception100.csv', '0.0089541']
['00947', '00947_0009809_cnn_inception100.csv', '0.0011878']
['00594', '00594_0004169_cnn_inception100.csv', '0.000142507']
['00506', '00506_0003121_cnn_inception100.csv', '0.0378136']
['00553', '00553_0003866_cnn_inception100.csv', '0.00125159']
['00685', '00685_0007350_cnn_inception100.csv', '0.00118797']
['00840', '00840_0003329_cnn_inception100.csv', '0.00583233']
['01119', '01119_0006339_cnn_inception100.csv', '0.000193065']
['01173', '01173_0008801_cnn_inception100.csv', '0.00114378']
['01497', '01497_0004921_cnn_inception100.csv', '0.0101076']
['01439', '01439_0011344_cnn_inception100.csv', '0.00101683']
['01289', '01289_0006682_cnn_inception100.csv', '5.00543e-06']
['01390', '01390_0009704_cnn_inception100.csv', '0.000704577']
['01159', '01159_0002523_cnn_inception100.csv', '0.00373367']
['01113', '01113_0036176_cnn_inception100.csv', '0.00123432']
['01342', '01342_0006221_cnn_inception100.csv', '5.71938e-05']
['01290', '01290_0028137_cnn_inception100.csv', '0.00119766']
['01206', '01206_0005138_cnn_inception100.csv', '0.00430301']
['01044', '01044_0011087_cnn_inception100.csv', '0.00134581']
['01543', '01543_0009146_cnn_inception100.csv', '0.00313075']
['01668', '01668_0002762_cnn_inception100.csv', '0.00203983']
['01632', '01632_0002535_cnn_inception100.csv', '0.00181816']
['01895', '01895_0011752_cnn_inception100.csv', '0.00306875']
['01963', '01963_0003967_cnn_inception100.csv', '0.00315046']
['01937', '01937_0000008_cnn_inception100.csv', '0.0079551']
['01607', '01607_0006752_cnn_inception100.csv', '0.00224523']
['01885', '01885_0012544_cnn_inception100.csv', '0.00543787']
['02596', '02596_0004268_cnn_inception100.csv', '0.00210761']
['02932', '02932_0031387_cnn_inception100.csv', '0.00332311']
['02630', '02630_0002276_cnn_inception100.csv', '0.000230765']
['02577', '02577_0005186_cnn_inception100.csv', '0.0165849']
['02908', '02908_0011005_cnn_inception100.csv', '0.00121318']
['02856', '02856_0000884_cnn_inception100.csv', '0.00226448']
['02529', '02529_0022971_cnn_inception100.csv', '0.00128589']
['02588', '02588_0002221_cnn_inception100.csv', '0.00445977']
['02420', '02420_0009129_cnn_inception100.csv', '2.75757e-06']
['02020', '02020_0003623_cnn_inception100.csv', '0.00290304']
['02252', '02252_0005293_cnn_inception100.csv', '0.00307984']
['02122', '02122_0011382_cnn_inception100.csv', '0.000441297']
['02317', '02317_0011328_cnn_inception100.csv', '7.36476e-05']
['02389', '02389_0001270_cnn_inception100.csv', '0.0583008']
['02184', '02184_0002592_cnn_inception100.csv', '0.000297314']
['02135', '02135_0007931_cnn_inception100.csv', '0.00296423']
['02091', '02091_0005378_cnn_inception100.csv', '0.00171362']
['02110', '02110_0005871_cnn_inception100.csv', '0.0179606']
['03428', '03428_0004528_cnn_inception100.csv', '0.00330669']
['03317', '03317_0001619_cnn_inception100.csv', '0.000101739']
['03034', '03034_0000914_cnn_inception100.csv', '0.000310374']
['03274', '03274_0011597_cnn_inception100.csv', '0.00769003']
['03485', '03485_0002642_cnn_inception100.csv', '0.00281522']
['03040', '03040_0003361_cnn_inception100.csv', '0.000364703']
['03455', '03455_0005105_cnn_inception100.csv', '0.000176148']
['03431', '03431_0006228_cnn_inception100.csv', '0.00146107']
['03957', '03957_0006790_cnn_inception100.csv', '0.0112439']
['03905', '03905_0000338_cnn_inception100.csv', '0.00078602']
['03921', '03921_0004032_cnn_inception100.csv', '0.00351449']
['03862', '03862_0006820_cnn_inception100.csv', '0.0140489']
['03654', '03654_0008210_cnn_inception100.csv', '0.119019']
['03912', '03912_0001192_cnn_inception100.csv', '0.00074156']
['03978', '03978_0000560_cnn_inception100.csv', '0.000323732']
['03858', '03858_0004914_cnn_inception100.csv', '0.000674235']
['04098', '04098_0007045_cnn_inception100.csv', '0.000455374']
['04315', '04315_0006552_cnn_inception100.csv', '0.00298169']
['04355', '04355_0001542_cnn_inception100.csv', '0.00814114']
['04133', '04133_0001980_cnn_inception100.csv', '0.00241516']
['04102', '04102_0002496_cnn_inception100.csv', '0.00266132']
['04467', '04467_0010233_cnn_inception100.csv', '0.000662715']
['04971', '04971_0005371_cnn_inception100.csv', '0.00598712']
['04701', '04701_0013322_cnn_inception100.csv', '0.00319263']
['04986', '04986_0003807_cnn_inception100.csv', '0.00198959']
['04570', '04570_0004810_cnn_inception100.csv', '0.00162172']
['04554', '04554_0000955_cnn_inception100.csv', '0.0463405']
['04905', '04905_0004114_cnn_inception100.csv', '0.0133825']
['04648', '04648_0004443_cnn_inception100.csv', '0.0016058']
['04622', '04622_0000945_cnn_inception100.csv', '0.0179572']
['05039', '05039_0001780_cnn_inception100.csv', '0.00113013']
['05202', '05202_0002352_cnn_inception100.csv', '0.000434314']
['05498', '05498_0007498_cnn_inception100.csv', '0.00369421']
['05063', '05063_0002352_cnn_inception100.csv', '0.00109288']
['05448', '05448_0006540_cnn_inception100.csv', '0.00246932']
['05103', '05103_0003403_cnn_inception100.csv', '0.0030646']
['05124', '05124_0006445_cnn_inception100.csv', '0.00124236']
['05405', '05405_0003173_cnn_inception100.csv', '0.000275123']
['05357', '05357_0005930_cnn_inception100.csv', '0.00322995']
['05868', '05868_0004301_cnn_inception100.csv', '0.00420133']
['05859', '05859_0004940_cnn_inception100.csv', '0.00245366']
['05610', '05610_0009861_cnn_inception100.csv', '0.00183038']
['05672', '05672_0006431_cnn_inception100.csv', '0.00222277']
['05799', '05799_0001767_cnn_inception100.csv', '0.00636183']
['05549', '05549_0002374_cnn_inception100.csv', '0.000190595']
['05720', '05720_0008439_cnn_inception100.csv', '0.00142216']
['05699', '05699_0004621_cnn_inception100.csv', '0.00802166']
['05769', '05769_0001931_cnn_inception100.csv', '9.21601e-05']
['06350', '06350_0006572_cnn_inception100.csv', '0.00439724']
['06426', '06426_0000775_cnn_inception100.csv', '0.00819734']
['06419', '06419_0004527_cnn_inception100.csv', '0.000380781']
['06026', '06026_0003116_cnn_inception100.csv', '0.00906907']
['06404', '06404_0004030_cnn_inception100.csv', '0.00401585']
['06441', '06441_0002890_cnn_inception100.csv', '0.000400693']
['06025', '06025_0003857_cnn_inception100.csv', '0.00184055']
['06009', '06009_0005886_cnn_inception100.csv', '0.00361379']
['06030', '06030_0006806_cnn_inception100.csv', '0.00105743']
['06597', '06597_0002084_cnn_inception100.csv', '0.0169874']
['06905', '06905_0005469_cnn_inception100.csv', '0.000827809']
['06884', '06884_0001884_cnn_inception100.csv', '0.00462557']
['06973', '06973_0001102_cnn_inception100.csv', '0.00358106']
['06582', '06582_0000609_cnn_inception100.csv', '0.00248252']
['06548', '06548_0016036_cnn_inception100.csv', '0.0146415']
['06694', '06694_0004365_cnn_inception100.csv', '2.21997e-05']
['06894', '06894_0002380_cnn_inception100.csv', '0.00221819']
['06581', '06581_0008706_cnn_inception100.csv', '0.0213363']
['06589', '06589_0002080_cnn_inception100.csv', '0.000526196']
['06949', '06949_0004693_cnn_inception100.csv', '0.00130106']
['07270', '07270_0007710_cnn_inception100.csv', '0.00176114']
['07358', '07358_0006234_cnn_inception100.csv', '0.00403061']
['07360', '07360_0026955_cnn_inception100.csv', '0.00111612']
['07184', '07184_0002940_cnn_inception100.csv', '0.000763882']
['07083', '07083_0001026_cnn_inception100.csv', '0.00111443']
['07323', '07323_0008261_cnn_inception100.csv', '0.0371659']
