['00065', '00065_0005799_cnn_inception100.csv', '1.14943e-05']
['00267', '00267_0005136_cnn_inception100.csv', '7.48689e-07']
['00161', '00161_0001650_cnn_inception100.csv', '0.00393673']
['00125', '00125_0000433_cnn_inception100.csv', '0.00142902']
['00137', '00137_0000967_cnn_inception100.csv', '0.002869']
['00535', '00535_0025048_cnn_inception100.csv', '0.00642406']
['00698', '00698_0002312_cnn_inception100.csv', '0.00152993']
['00702', '00702_0003385_cnn_inception100.csv', '0.00122945']
['00825', '00825_0002477_cnn_inception100.csv', '0.000183358']
['01145', '01145_0004326_cnn_inception100.csv', '6.24073e-06']
['01301', '01301_0013759_cnn_inception100.csv', '0.038805']
['01124', '01124_0006390_cnn_inception100.csv', '4.75069e-08']
['01350', '01350_0001394_cnn_inception100.csv', '0.00186645']
['01791', '01791_0005965_cnn_inception100.csv', '0.160238']
['01524', '01524_0011453_cnn_inception100.csv', '0.00220511']
['01514', '01514_0001826_cnn_inception100.csv', '0.000265823']
['01897', '01897_0011809_cnn_inception100.csv', '0.00793748']
['01554', '01554_0000394_cnn_inception100.csv', '5.29801e-08']
['02766', '02766_0003885_cnn_inception100.csv', '0.00644656']
['02876', '02876_0000707_cnn_inception100.csv', '2.32907e-08']
['02729', '02729_0003713_cnn_inception100.csv', '0.0075366']
['02716', '02716_0003439_cnn_inception100.csv', '0.00853859']
['02945', '02945_0004425_cnn_inception100.csv', '0.00285644']
['02154', '02154_0005683_cnn_inception100.csv', '0.000643778']
['02104', '02104_0005037_cnn_inception100.csv', '0.00130324']
['03209', '03209_0006957_cnn_inception100.csv', '0.022421']
['03031', '03031_0005341_cnn_inception100.csv', '3.21489e-09']
['03499', '03499_0000383_cnn_inception100.csv', '0.0573055']
['03090', '03090_0005541_cnn_inception100.csv', '0.0017909']
['03052', '03052_0000414_cnn_inception100.csv', '5.14322e-05']
['03664', '03664_0011782_cnn_inception100.csv', '0.00181914']
['03503', '03503_0002769_cnn_inception100.csv', '0.0041792']
['04117', '04117_0005284_cnn_inception100.csv', '0.00115827']
['04364', '04364_0004133_cnn_inception100.csv', '6.05917e-05']
['04355', '04355_0001542_cnn_inception100.csv', '0.000700506']
['04107', '04107_0000551_cnn_inception100.csv', '0.00220559']
['04442', '04442_0003502_cnn_inception100.csv', '0.00428037']
['04072', '04072_0007310_cnn_inception100.csv', '0.0027117']
['04020', '04020_0003375_cnn_inception100.csv', '0.00879833']
['04421', '04421_0000903_cnn_inception100.csv', '0.024537']
['04661', '04661_0000134_cnn_inception100.csv', '0.00255094']
['04869', '04869_0001222_cnn_inception100.csv', '0.0381729']
['04984', '04984_0009123_cnn_inception100.csv', '0.0311226']
['04844', '04844_0000426_cnn_inception100.csv', '0.00141554']
['04620', '04620_0007587_cnn_inception100.csv', '0.00060214']
['04817', '04817_0011769_cnn_inception100.csv', '0.00143543']
['04987', '04987_0002030_cnn_inception100.csv', '0.0020339']
['05261', '05261_0009432_cnn_inception100.csv', '0.02252']
['05387', '05387_0002179_cnn_inception100.csv', '0.00015135']
['05752', '05752_0008371_cnn_inception100.csv', '1.20723e-05']
['05772', '05772_0024069_cnn_inception100.csv', '0.000598348']
['05917', '05917_0004888_cnn_inception100.csv', '6.9082e-06']
['05637', '05637_0001233_cnn_inception100.csv', '0.0942808']
['05959', '05959_0002174_cnn_inception100.csv', '0.000435222']
['05968', '05968_0003217_cnn_inception100.csv', '0.00134047']
['05766', '05766_0000850_cnn_inception100.csv', '0.00496634']
['05759', '05759_0000609_cnn_inception100.csv', '0.0381261']
['06148', '06148_0000077_cnn_inception100.csv', '0.00253344']
['06383', '06383_0005968_cnn_inception100.csv', '0.00147208']
['06937', '06937_0007324_cnn_inception100.csv', '0.00185858']
['06811', '06811_0015632_cnn_inception100.csv', '0.00218104']
