['00294', '00294_0004730_cnn_inception100.csv', '0.00214289']
['00801', '00801_0004142_cnn_inception100.csv', '0.0128626']
['01050', '01050_0008970_cnn_inception100.csv', '0.00304731']
['01579', '01579_0005968_cnn_inception100.csv', '0.0073659']
['01959', '01959_0004362_cnn_inception100.csv', '0.00166316']
['02787', '02787_0003808_cnn_inception100.csv', '0.0005764']
['02549', '02549_0017210_cnn_inception100.csv', '0.000650179']
['02401', '02401_0016715_cnn_inception100.csv', '0.00168729']
['04500', '04500_0005153_cnn_inception100.csv', '0.00101748']
['04766', '04766_0001622_cnn_inception100.csv', '0.00214712']
['05096', '05096_0001176_cnn_inception100.csv', '0.0014551']
['05012', '05012_0014152_cnn_inception100.csv', '0.00108203']
['05193', '05193_0000767_cnn_inception100.csv', '0.0011871']
['05509', '05509_0032654_cnn_inception100.csv', '0.00213184']
['06579', '06579_0001637_cnn_inception100.csv', '0.00211375']
['06739', '06739_0012133_cnn_inception100.csv', '0.00299691']
['07291', '07291_0000439_cnn_inception100.csv', '0.00194889']
