['00273', '00273_0004553_cnn_inception100.csv', '0.00591821']
['00572', '00572_0000571_cnn_inception100.csv', '0.00185161']
['02030', '02030_0025948_cnn_inception100.csv', '0.00189609']
['02118', '02118_0002347_cnn_inception100.csv', '0.000643687']
['03481', '03481_0023701_cnn_inception100.csv', '0.00472518']
['03020', '03020_0004265_cnn_inception100.csv', '0.00343135']
['03321', '03321_0001988_cnn_inception100.csv', '0.00370454']
['03037', '03037_0002000_cnn_inception100.csv', '0.00256282']
['03561', '03561_0003795_cnn_inception100.csv', '0.00229271']
['04871', '04871_0004641_cnn_inception100.csv', '0.00208883']
['05728', '05728_0007925_cnn_inception100.csv', '0.00545983']
['05921', '05921_0004638_cnn_inception100.csv', '0.00980165']
['06041', '06041_0007942_cnn_inception100.csv', '0.00132425']
['06706', '06706_0005097_cnn_inception100.csv', '0.000516417']
