['00117', '00117_0005989_cnn_inception100.csv', '3.79152e-05']
['00272', '00272_0004488_cnn_inception100.csv', '0.00184552']
['00025', '00025_0012382_cnn_inception100.csv', '9.81704e-06']
['00113', '00113_0010387_cnn_inception100.csv', '0.0013348']
['00016', '00016_0019632_cnn_inception100.csv', '0.000290069']
['00731', '00731_0005738_cnn_inception100.csv', '0.000127033']
['00820', '00820_0001844_cnn_inception100.csv', '0.00033341']
['00819', '00819_0011704_cnn_inception100.csv', '0.000815388']
['01401', '01401_0078402_cnn_inception100.csv', '0.00129268']
['01478', '01478_0000486_cnn_inception100.csv', '0.00646181']
['01150', '01150_0023793_cnn_inception100.csv', '0.000105256']
['01255', '01255_0001494_cnn_inception100.csv', '0.000262774']
['01291', '01291_0005763_cnn_inception100.csv', '0.000427035']
['01042', '01042_0004677_cnn_inception100.csv', '0.000432667']
['01199', '01199_0005299_cnn_inception100.csv', '0.00743013']
['01517', '01517_0029857_cnn_inception100.csv', '0.000987303']
['01805', '01805_0005316_cnn_inception100.csv', '0.000366204']
['01661', '01661_0002365_cnn_inception100.csv', '0.000712541']
['01826', '01826_0002103_cnn_inception100.csv', '0.00317497']
['01533', '01533_0010984_cnn_inception100.csv', '0.000150648']
['01973', '01973_0013635_cnn_inception100.csv', '0.000331055']
['01734', '01734_0007164_cnn_inception100.csv', '0.000443034']
['02733', '02733_0009398_cnn_inception100.csv', '7.70544e-05']
['02605', '02605_0047716_cnn_inception100.csv', '0.00134167']
['02782', '02782_0006476_cnn_inception100.csv', '8.97399e-05']
['03086', '03086_0003255_cnn_inception100.csv', '0.00940812']
['03335', '03335_0021043_cnn_inception100.csv', '1.32956e-05']
['03179', '03179_0007920_cnn_inception100.csv', '0.00126949']
['03254', '03254_0003292_cnn_inception100.csv', '0.000199663']
['03230', '03230_0016424_cnn_inception100.csv', '0.00160599']
['03793', '03793_0004294_cnn_inception100.csv', '0.000280268']
['03515', '03515_0000632_cnn_inception100.csv', '0.00143575']
['03773', '03773_0006076_cnn_inception100.csv', '0.00191567']
['03896', '03896_0003192_cnn_inception100.csv', '0.00357842']
['03887', '03887_0002538_cnn_inception100.csv', '0.0558582']
['03790', '03790_0005113_cnn_inception100.csv', '0.000129156']
['03936', '03936_0000362_cnn_inception100.csv', '0.00685727']
['03834', '03834_0003277_cnn_inception100.csv', '0.00094345']
['04126', '04126_0004963_cnn_inception100.csv', '0.000427675']
['04103', '04103_0009069_cnn_inception100.csv', '0.00011904']
['04298', '04298_0002952_cnn_inception100.csv', '0.00175494']
['04334', '04334_0005572_cnn_inception100.csv', '0.00182527']
['04367', '04367_0000937_cnn_inception100.csv', '6.89616e-06']
['04445', '04445_0007913_cnn_inception100.csv', '0.00101198']
['04832', '04832_0017142_cnn_inception100.csv', '0.0156425']
['04985', '04985_0110305_cnn_inception100.csv', '0.000384285']
['04593', '04593_0002033_cnn_inception100.csv', '0.00211002']
['04827', '04827_0006576_cnn_inception100.csv', '0.000511872']
['04898', '04898_0042921_cnn_inception100.csv', '1.69769e-05']
['04522', '04522_0005636_cnn_inception100.csv', '2.2563e-05']
['05116', '05116_0031875_cnn_inception100.csv', '0.00071398']
['05117', '05117_0035721_cnn_inception100.csv', '1.54115e-05']
['05257', '05257_0006469_cnn_inception100.csv', '0.00017307']
['05390', '05390_0014385_cnn_inception100.csv', '0.0020873']
['05764', '05764_0000004_cnn_inception100.csv', '0.00963008']
['05640', '05640_0006849_cnn_inception100.csv', '0.00144466']
['05564', '05564_0001799_cnn_inception100.csv', '2.05661e-06']
['06017', '06017_0070931_cnn_inception100.csv', '0.000705657']
['06397', '06397_0029995_cnn_inception100.csv', '9.38986e-06']
['06084', '06084_0001488_cnn_inception100.csv', '0.00178557']
['06079', '06079_0003641_cnn_inception100.csv', '0.000196455']
['07074', '07074_0020405_cnn_inception100.csv', '0.000972044']
['07245', '07245_0021872_cnn_inception100.csv', '1.10728e-05']
