['00199', '00199_0015555_cnn_inception100.csv', '2.05854e-06']
['00522', '00522_0002410_cnn_inception100.csv', '0.0021183']
['00995', '00995_0000896_cnn_inception100.csv', '0.00096154']
['01250', '01250_0003477_cnn_inception100.csv', '0.00231042']
['01288', '01288_0015145_cnn_inception100.csv', '0.00160159']
['01485', '01485_0010027_cnn_inception100.csv', '0.000197242']
['01309', '01309_0004939_cnn_inception100.csv', '3.19418e-05']
['01005', '01005_0000580_cnn_inception100.csv', '0.00177767']
['01886', '01886_0000602_cnn_inception100.csv', '0.0107597']
['01792', '01792_0004551_cnn_inception100.csv', '0.00555207']
['01968', '01968_0012939_cnn_inception100.csv', '0.00146817']
['02504', '02504_0007704_cnn_inception100.csv', '0.00233574']
['02222', '02222_0007370_cnn_inception100.csv', '0.0013213']
['03224', '03224_0001106_cnn_inception100.csv', '0.000160666']
['03789', '03789_0000952_cnn_inception100.csv', '0.00445846']
['04620', '04620_0007587_cnn_inception100.csv', '0.00499853']
['04733', '04733_0004087_cnn_inception100.csv', '0.00520731']
['05085', '05085_0006039_cnn_inception100.csv', '0.000603571']
['05461', '05461_0004163_cnn_inception100.csv', '0.00472596']
['05130', '05130_0001174_cnn_inception100.csv', '0.000494595']
['05891', '05891_0001173_cnn_inception100.csv', '0.00454144']
['05959', '05959_0002174_cnn_inception100.csv', '0.000436729']
['06075', '06075_0001100_cnn_inception100.csv', '0.0101979']
['06195', '06195_0004009_cnn_inception100.csv', '0.00434918']
['06294', '06294_0001544_cnn_inception100.csv', '0.00102653']
['06997', '06997_0006592_cnn_inception100.csv', '0.00192392']
['07297', '07297_0004725_cnn_inception100.csv', '0.00258174']
['07300', '07300_0004907_cnn_inception100.csv', '0.00152056']
