['00205', '00205_0006202_cnn_inception100.csv', '0.000203172']
['00260', '00260_0018412_cnn_inception100.csv', '0.00106845']
['00479', '00479_0006964_cnn_inception100.csv', '0.00172439']
['00443', '00443_0006324_cnn_inception100.csv', '0.000615749']
['00892', '00892_0004755_cnn_inception100.csv', '0.00028229']
['00802', '00802_0002465_cnn_inception100.csv', '0.00383439']
['00700', '00700_0000982_cnn_inception100.csv', '0.00102979']
['00814', '00814_0000427_cnn_inception100.csv', '0.00173871']
['01353', '01353_0002369_cnn_inception100.csv', '0.000804989']
['01140', '01140_0005912_cnn_inception100.csv', '0.00259992']
['01357', '01357_0004507_cnn_inception100.csv', '0.0078607']
['01866', '01866_0009901_cnn_inception100.csv', '0.000556718']
['01728', '01728_0005239_cnn_inception100.csv', '0.000843561']
['01698', '01698_0001248_cnn_inception100.csv', '3.49185e-06']
['01664', '01664_0004355_cnn_inception100.csv', '0.00360823']
['01683', '01683_0000581_cnn_inception100.csv', '0.00688501']
['01596', '01596_0002657_cnn_inception100.csv', '0.000541796']
['02822', '02822_0005139_cnn_inception100.csv', '0.00745641']
['02615', '02615_0000977_cnn_inception100.csv', '0.00259813']
['02843', '02843_0005148_cnn_inception100.csv', '0.0390298']
['02868', '02868_0005384_cnn_inception100.csv', '0.000231088']
['02303', '02303_0006217_cnn_inception100.csv', '0.00431616']
['03276', '03276_0007337_cnn_inception100.csv', '0.00380391']
['03401', '03401_0003547_cnn_inception100.csv', '0.000248611']
['03663', '03663_0003268_cnn_inception100.csv', '0.000916863']
['03566', '03566_0001375_cnn_inception100.csv', '0.0126403']
['03543', '03543_0001941_cnn_inception100.csv', '0.00444284']
['03748', '03748_0005254_cnn_inception100.csv', '0.000570378']
['03895', '03895_0001708_cnn_inception100.csv', '0.00174577']
['04667', '04667_0006997_cnn_inception100.csv', '0.000228459']
['04518', '04518_0026851_cnn_inception100.csv', '0.000146483']
['04535', '04535_0014753_cnn_inception100.csv', '0.000451981']
['04799', '04799_0003403_cnn_inception100.csv', '0.00225832']
['04611', '04611_0003989_cnn_inception100.csv', '0.0104389']
['04546', '04546_0001383_cnn_inception100.csv', '0.00172391']
['04540', '04540_0006955_cnn_inception100.csv', '0.00333309']
['04537', '04537_0004568_cnn_inception100.csv', '0.00529942']
['04670', '04670_0004277_cnn_inception100.csv', '0.0307787']
['05499', '05499_0006077_cnn_inception100.csv', '0.000797841']
['05397', '05397_0000535_cnn_inception100.csv', '0.000123558']
['05131', '05131_0004111_cnn_inception100.csv', '0.000601983']
['05592', '05592_0015033_cnn_inception100.csv', '0.0233079']
['06199', '06199_0004338_cnn_inception100.csv', '0.000324755']
['06020', '06020_0002535_cnn_inception100.csv', '0.000586729']
['06380', '06380_0000781_cnn_inception100.csv', '0.00721285']
['06742', '06742_0003267_cnn_inception100.csv', '0.000237003']
['07456', '07456_0002475_cnn_inception100.csv', '0.00241358']
['07446', '07446_0002988_cnn_inception100.csv', '0.00173223']
['07039', '07039_0003472_cnn_inception100.csv', '0.00538156']
