['00477', '00477_0004295_cnn_inception100.csv', '0.0069004']
['00627', '00627_0002938_cnn_inception100.csv', '0.00351791']
['00969', '00969_0005339_cnn_inception100.csv', '0.00260872']
['01030', '01030_0003255_cnn_inception100.csv', '0.00635047']
['01041', '01041_0001255_cnn_inception100.csv', '0.00145437']
['01280', '01280_0017374_cnn_inception100.csv', '0.0017747']
['01686', '01686_0001426_cnn_inception100.csv', '0.00144962']
['02647', '02647_0000865_cnn_inception100.csv', '0.000389421']
['02233', '02233_0000341_cnn_inception100.csv', '0.000787718']
['02174', '02174_0001700_cnn_inception100.csv', '0.00193234']
['03546', '03546_0004669_cnn_inception100.csv', '0.0181528']
['04130', '04130_0026148_cnn_inception100.csv', '0.00475118']
['04510', '04510_0001938_cnn_inception100.csv', '0.00317601']
['05160', '05160_0001161_cnn_inception100.csv', '0.00178957']
['05167', '05167_0000679_cnn_inception100.csv', '0.00245094']
['05165', '05165_0004482_cnn_inception100.csv', '0.00331165']
['05572', '05572_0002678_cnn_inception100.csv', '0.00252041']
['05850', '05850_0007183_cnn_inception100.csv', '0.00214379']
['06305', '06305_0003745_cnn_inception100.csv', '0.00302734']
['06027', '06027_0001759_cnn_inception100.csv', '0.00439717']
['06058', '06058_0003432_cnn_inception100.csv', '0.00314917']
['06436', '06436_0004063_cnn_inception100.csv', '0.000793805']
['06348', '06348_0004154_cnn_inception100.csv', '0.00315739']
['07460', '07460_0002279_cnn_inception100.csv', '0.00335197']
