['00127', '00127_0001119_cnn_inception100.csv', '0.00203428']
['00158', '00158_0002927_cnn_inception100.csv', '0.00327592']
['00015', '00015_0006020_cnn_inception100.csv', '0.00535659']
['00281', '00281_0001639_cnn_inception100.csv', '0.00279472']
['00263', '00263_0010685_cnn_inception100.csv', '0.00273397']
['00237', '00237_0002615_cnn_inception100.csv', '0.00341502']
['00572', '00572_0000571_cnn_inception100.csv', '0.00166911']
['00966', '00966_0004098_cnn_inception100.csv', '0.00080471']
['00562', '00562_0000168_cnn_inception100.csv', '0.00190352']
['01385', '01385_0009838_cnn_inception100.csv', '0.00223946']
['01323', '01323_0001494_cnn_inception100.csv', '0.00198429']
['01462', '01462_0001555_cnn_inception100.csv', '2.30651e-07']
['01288', '01288_0015145_cnn_inception100.csv', '0.00226105']
['01362', '01362_0002870_cnn_inception100.csv', '0.00736181']
['01157', '01157_0001955_cnn_inception100.csv', '0.00357001']
['01405', '01405_0007330_cnn_inception100.csv', '0.00287291']
['01618', '01618_0004193_cnn_inception100.csv', '0.0044326']
['02969', '02969_0000241_cnn_inception100.csv', '0.00286406']
['02994', '02994_0004778_cnn_inception100.csv', '0.00484789']
['02959', '02959_0003563_cnn_inception100.csv', '0.00317561']
['02683', '02683_0005326_cnn_inception100.csv', '0.00200711']
['02800', '02800_0001817_cnn_inception100.csv', '0.0112095']
['02834', '02834_0004022_cnn_inception100.csv', '0.00437383']
['02869', '02869_0003520_cnn_inception100.csv', '0.00191919']
['02770', '02770_0003818_cnn_inception100.csv', '0.00159576']
['02163', '02163_0000212_cnn_inception100.csv', '0.000490923']
['02487', '02487_0009155_cnn_inception100.csv', '0.00128261']
['02283', '02283_0005592_cnn_inception100.csv', '0.0160708']
['02068', '02068_0002611_cnn_inception100.csv', '0.00417162']
['02301', '02301_0001003_cnn_inception100.csv', '0.00220141']
['02105', '02105_0001383_cnn_inception100.csv', '0.00152854']
['02300', '02300_0002605_cnn_inception100.csv', '0.00257177']
['02008', '02008_0000320_cnn_inception100.csv', '0.000975266']
['02295', '02295_0003007_cnn_inception100.csv', '0.000824136']
['03334', '03334_0001766_cnn_inception100.csv', '0.00381938']
['03297', '03297_0001013_cnn_inception100.csv', '0.00265021']
['03047', '03047_0000789_cnn_inception100.csv', '0.00170849']
['03251', '03251_0002407_cnn_inception100.csv', '0.00359143']
['03679', '03679_0009394_cnn_inception100.csv', '0.000324453']
['03590', '03590_0002442_cnn_inception100.csv', '0.00794432']
['03616', '03616_0005504_cnn_inception100.csv', '0.00324712']
['03567', '03567_0002200_cnn_inception100.csv', '0.00648275']
['03517', '03517_0001918_cnn_inception100.csv', '0.00181442']
['03722', '03722_0003003_cnn_inception100.csv', '0.00878752']
['03746', '03746_0003797_cnn_inception100.csv', '0.0124495']
['03518', '03518_0003437_cnn_inception100.csv', '0.00260241']
['03694', '03694_0008139_cnn_inception100.csv', '0.00129621']
['03802', '03802_0019384_cnn_inception100.csv', '0.000234408']
['04121', '04121_0002102_cnn_inception100.csv', '0.00151855']
['04192', '04192_0000651_cnn_inception100.csv', '0.00265408']
['04588', '04588_0003287_cnn_inception100.csv', '0.0086813']
['04526', '04526_0007040_cnn_inception100.csv', '0.00153828']
['04700', '04700_0002930_cnn_inception100.csv', '0.00306977']
['05283', '05283_0005251_cnn_inception100.csv', '0.00197228']
['05249', '05249_0003972_cnn_inception100.csv', '0.00362179']
['05416', '05416_0003079_cnn_inception100.csv', '6.433e-05']
['05949', '05949_0004336_cnn_inception100.csv', '1.3076e-05']
['05560', '05560_0010839_cnn_inception100.csv', '0.00201997']
['05547', '05547_0006002_cnn_inception100.csv', '0.00518109']
['05975', '05975_0003779_cnn_inception100.csv', '0.000172216']
['05696', '05696_0011119_cnn_inception100.csv', '0.00236461']
['05648', '05648_0024022_cnn_inception100.csv', '0.00142833']
['06190', '06190_0002698_cnn_inception100.csv', '0.00572896']
['06075', '06075_0001100_cnn_inception100.csv', '0.0011675']
['06300', '06300_0001403_cnn_inception100.csv', '0.0031872']
['06221', '06221_0004159_cnn_inception100.csv', '0.00123769']
['06014', '06014_0003299_cnn_inception100.csv', '0.00327092']
['06537', '06537_0001707_cnn_inception100.csv', '0.00164238']
['06624', '06624_0002261_cnn_inception100.csv', '0.00389822']
['06745', '06745_0008056_cnn_inception100.csv', '0.00418287']
['06708', '06708_0012338_cnn_inception100.csv', '0.000568479']
['06997', '06997_0006592_cnn_inception100.csv', '0.00198411']
['06826', '06826_0004222_cnn_inception100.csv', '0.00547819']
['06984', '06984_0001365_cnn_inception100.csv', '0.00849906']
['06518', '06518_0003101_cnn_inception100.csv', '0.00392954']
['07222', '07222_0000790_cnn_inception100.csv', '0.00159514']
['07138', '07138_0006701_cnn_inception100.csv', '0.00337324']
['07148', '07148_0004088_cnn_inception100.csv', '0.00209157']
['07216', '07216_0008894_cnn_inception100.csv', '0.0107689']
