['00491', '00491_0004314_cnn_inception100.csv', '4.89604e-06']
['00300', '00300_0017104_cnn_inception100.csv', '0.00166208']
['00273', '00273_0004553_cnn_inception100.csv', '0.00103851']
['00965', '00965_0001069_cnn_inception100.csv', '0.000690929']
['00937', '00937_0003918_cnn_inception100.csv', '0.0595243']
['01008', '01008_0002570_cnn_inception100.csv', '0.000110669']
['01445', '01445_0016302_cnn_inception100.csv', '0.00803219']
['01101', '01101_0002021_cnn_inception100.csv', '0.00278306']
['02701', '02701_0000383_cnn_inception100.csv', '0.00130503']
['02572', '02572_0026339_cnn_inception100.csv', '0.00440434']
['02163', '02163_0000212_cnn_inception100.csv', '0.00058183']
['02082', '02082_0000988_cnn_inception100.csv', '0.00254095']
['02008', '02008_0000320_cnn_inception100.csv', '0.00345159']
['03057', '03057_0007128_cnn_inception100.csv', '0.0102783']
['03256', '03256_0000767_cnn_inception100.csv', '0.00162967']
['03618', '03618_0003450_cnn_inception100.csv', '0.00392358']
['03694', '03694_0008139_cnn_inception100.csv', '0.00544143']
['04462', '04462_0001142_cnn_inception100.csv', '0.00060751']
['04319', '04319_0002187_cnn_inception100.csv', '0.00944166']
['04326', '04326_0000953_cnn_inception100.csv', '1.52598e-05']
['04999', '04999_0057621_cnn_inception100.csv', '0.002972']
['04652', '04652_0003761_cnn_inception100.csv', '0.0155289']
['04512', '04512_0000365_cnn_inception100.csv', '0.00103332']
['05235', '05235_0004348_cnn_inception100.csv', '0.00755258']
['05085', '05085_0006039_cnn_inception100.csv', '0.000429362']
['05353', '05353_0013889_cnn_inception100.csv', '0.00291199']
['05115', '05115_0004082_cnn_inception100.csv', '0.0219156']
['05712', '05712_0004599_cnn_inception100.csv', '0.00313391']
['05836', '05836_0005573_cnn_inception100.csv', '0.0012151']
['06265', '06265_0002306_cnn_inception100.csv', '0.00497632']
['06370', '06370_0001314_cnn_inception100.csv', '0.00032715']
['06735', '06735_0001274_cnn_inception100.csv', '0.00282734']
['06640', '06640_0003119_cnn_inception100.csv', '0.00129665']
['06573', '06573_0001527_cnn_inception100.csv', '0.000530126']
