['00165', '00165_0007731_cnn_inception100.csv', '0.000104275']
['00305', '00305_0000360_cnn_inception100.csv', '0.000330169']
['00421', '00421_0003478_cnn_inception100.csv', '0.000425885']
['00744', '00744_0001965_cnn_inception100.csv', '0.00203011']
['00570', '00570_0003625_cnn_inception100.csv', '0.00316533']
['00590', '00590_0001222_cnn_inception100.csv', '0.00150031']
['00769', '00769_0001174_cnn_inception100.csv', '0.00218814']
['00591', '00591_0001899_cnn_inception100.csv', '0.000264646']
['00823', '00823_0017610_cnn_inception100.csv', '0.000241109']
['01098', '01098_0003261_cnn_inception100.csv', '0.0182808']
['01298', '01298_0000214_cnn_inception100.csv', '0.00898826']
['01605', '01605_0003017_cnn_inception100.csv', '3.21685e-05']
['01873', '01873_0003651_cnn_inception100.csv', '0.00453377']
['01736', '01736_0003234_cnn_inception100.csv', '0.00227031']
['01558', '01558_0007093_cnn_inception100.csv', '4.93663e-05']
['01624', '01624_0009748_cnn_inception100.csv', '0.000625329']
['01564', '01564_0006246_cnn_inception100.csv', '0.000178451']
['02601', '02601_0000302_cnn_inception100.csv', '0.00124271']
['02964', '02964_0001602_cnn_inception100.csv', '0.00501348']
['02303', '02303_0006217_cnn_inception100.csv', '0.00122805']
['02296', '02296_0013628_cnn_inception100.csv', '0.000975664']
['02415', '02415_0011761_cnn_inception100.csv', '0.000395205']
['03207', '03207_0001000_cnn_inception100.csv', '7.20443e-05']
['03287', '03287_0005696_cnn_inception100.csv', '4.26228e-06']
['03854', '03854_0004252_cnn_inception100.csv', '0.00133262']
['03528', '03528_0007249_cnn_inception100.csv', '0.000164906']
['04403', '04403_0004855_cnn_inception100.csv', '0.000944388']
['04574', '04574_0002229_cnn_inception100.csv', '0.00152869']
['04727', '04727_0003281_cnn_inception100.csv', '0.00167628']
['04583', '04583_0003809_cnn_inception100.csv', '0.0147724']
['05383', '05383_0002554_cnn_inception100.csv', '0.000712819']
['05463', '05463_0007120_cnn_inception100.csv', '0.000435763']
['05490', '05490_0004160_cnn_inception100.csv', '0.000103458']
['05104', '05104_0002663_cnn_inception100.csv', '0.0015486']
['05125', '05125_0000372_cnn_inception100.csv', '0.000253415']
['05255', '05255_0007595_cnn_inception100.csv', '0.00212537']
['05191', '05191_0013539_cnn_inception100.csv', '0.000687183']
['05970', '05970_0001935_cnn_inception100.csv', '0.000836605']
['05694', '05694_0004405_cnn_inception100.csv', '0.000529992']
['05502', '05502_0006893_cnn_inception100.csv', '0.00557028']
['05594', '05594_0005112_cnn_inception100.csv', '0.00199685']
['05568', '05568_0000696_cnn_inception100.csv', '0.00103035']
['05733', '05733_0000279_cnn_inception100.csv', '4.29196e-05']
['05957', '05957_0003298_cnn_inception100.csv', '0.00135334']
['06020', '06020_0002535_cnn_inception100.csv', '0.000123355']
['06228', '06228_0005517_cnn_inception100.csv', '0.00232931']
['06597', '06597_0002084_cnn_inception100.csv', '0.00241545']
['06825', '06825_0001641_cnn_inception100.csv', '0.0138049']
['07219', '07219_0000216_cnn_inception100.csv', '0.00162288']
