['00573', '00573_0005647_cnn_inception100.csv', '2.42653e-05']
['01102', '01102_0000446_cnn_inception100.csv', '0.000412759']
['01387', '01387_0003272_cnn_inception100.csv', '0.00234147']
['01253', '01253_0002288_cnn_inception100.csv', '0.000769545']
['01028', '01028_0003008_cnn_inception100.csv', '0.194369']
['01624', '01624_0009748_cnn_inception100.csv', '0.000824691']
['02582', '02582_0000241_cnn_inception100.csv', '0.00191433']
['03037', '03037_0002000_cnn_inception100.csv', '0.00243747']
['03815', '03815_0004953_cnn_inception100.csv', '0.00366104']
['04132', '04132_0000933_cnn_inception100.csv', '0.00128118']
['04101', '04101_0025535_cnn_inception100.csv', '0.000196996']
['04809', '04809_0051188_cnn_inception100.csv', '0.000161724']
['04652', '04652_0003761_cnn_inception100.csv', '0.000916245']
['04884', '04884_0001150_cnn_inception100.csv', '0.000111797']
['05483', '05483_0003305_cnn_inception100.csv', '2.20659e-05']
['05975', '05975_0003779_cnn_inception100.csv', '0.00063802']
['06112', '06112_0019208_cnn_inception100.csv', '0.00263841']
['06294', '06294_0001544_cnn_inception100.csv', '0.00115415']
['06759', '06759_0001004_cnn_inception100.csv', '0.00155915']
['06520', '06520_0001477_cnn_inception100.csv', '0.00437459']
['07083', '07083_0001026_cnn_inception100.csv', '0.000976438']
['07323', '07323_0008261_cnn_inception100.csv', '0.000914785']
