['00006', '00006_0004443_cnn_inception100.csv', '0.00204352']
['00462', '00462_0010943_cnn_inception100.csv', '0.00138131']
['00202', '00202_0002919_cnn_inception100.csv', '0.00130981']
['00180', '00180_0004175_cnn_inception100.csv', '0.00143329']
['00396', '00396_0002228_cnn_inception100.csv', '0.00120882']
['00330', '00330_0004635_cnn_inception100.csv', '0.00267371']
['00032', '00032_0007466_cnn_inception100.csv', '0.00644622']
['00359', '00359_0001694_cnn_inception100.csv', '0.00134203']
['00473', '00473_0002229_cnn_inception100.csv', '0.00208112']
['00505', '00505_0004904_cnn_inception100.csv', '0.000956466']
['00707', '00707_0006455_cnn_inception100.csv', '0.75647']
['00559', '00559_0000119_cnn_inception100.csv', '0.000720287']
['00699', '00699_0007478_cnn_inception100.csv', '0.00470803']
['01404', '01404_0001855_cnn_inception100.csv', '0.00456263']
['01254', '01254_0006532_cnn_inception100.csv', '0.00185004']
['01460', '01460_0000208_cnn_inception100.csv', '0.00118165']
['01073', '01073_0001410_cnn_inception100.csv', '0.00158562']
['01693', '01693_0007696_cnn_inception100.csv', '0.00188383']
['01627', '01627_0004501_cnn_inception100.csv', '8.22255e-05']
['01739', '01739_0003072_cnn_inception100.csv', '0.00211204']
['01910', '01910_0003426_cnn_inception100.csv', '0.00177974']
['01853', '01853_0007484_cnn_inception100.csv', '0.00171067']
['01903', '01903_0019481_cnn_inception100.csv', '0.00960723']
['02794', '02794_0002899_cnn_inception100.csv', '0.00189341']
['02879', '02879_0001166_cnn_inception100.csv', '6.6481e-06']
['02897', '02897_0001629_cnn_inception100.csv', '0.00123107']
['02600', '02600_0004465_cnn_inception100.csv', '0.00363754']
['02583', '02583_0006205_cnn_inception100.csv', '0.00352181']
['02889', '02889_0003639_cnn_inception100.csv', '0.00362962']
['02976', '02976_0003106_cnn_inception100.csv', '0.00251711']
['02086', '02086_0012908_cnn_inception100.csv', '0.00173088']
['02003', '02003_0019135_cnn_inception100.csv', '0.0255536']
['02381', '02381_0003000_cnn_inception100.csv', '0.0649433']
['02482', '02482_0005267_cnn_inception100.csv', '0.00179996']
['02498', '02498_0005256_cnn_inception100.csv', '0.000739949']
['02055', '02055_0002597_cnn_inception100.csv', '0.00440233']
['03197', '03197_0004677_cnn_inception100.csv', '0.00458283']
['03320', '03320_0013023_cnn_inception100.csv', '0.00259534']
['03033', '03033_0003165_cnn_inception100.csv', '0.00344487']
['03025', '03025_0001166_cnn_inception100.csv', '0.0206014']
['03397', '03397_0009559_cnn_inception100.csv', '0.00182217']
['03378', '03378_0025440_cnn_inception100.csv', '0.00127789']
['03672', '03672_0004758_cnn_inception100.csv', '0.00157397']
['03826', '03826_0005512_cnn_inception100.csv', '0.001266']
['03581', '03581_0004982_cnn_inception100.csv', '0.00179859']
['03984', '03984_0015325_cnn_inception100.csv', '0.000618414']
['03635', '03635_0001951_cnn_inception100.csv', '0.00343146']
['04172', '04172_0007128_cnn_inception100.csv', '0.00233543']
['04301', '04301_0007897_cnn_inception100.csv', '0.00463239']
['04396', '04396_0006098_cnn_inception100.csv', '0.00150985']
['04299', '04299_0010619_cnn_inception100.csv', '0.00144671']
['04973', '04973_0000815_cnn_inception100.csv', '0.000620736']
['04564', '04564_0000239_cnn_inception100.csv', '0.00905363']
['04751', '04751_0010352_cnn_inception100.csv', '0.00249821']
['05425', '05425_0001359_cnn_inception100.csv', '0.0206338']
['05300', '05300_0017258_cnn_inception100.csv', '0.00213759']
['05451', '05451_0006334_cnn_inception100.csv', '0.00244382']
['05644', '05644_0002897_cnn_inception100.csv', '0.00179294']
['05810', '05810_0004937_cnn_inception100.csv', '0.0013257']
['05908', '05908_0006487_cnn_inception100.csv', '0.00246595']
['05665', '05665_0006113_cnn_inception100.csv', '0.020973']
['06240', '06240_0000731_cnn_inception100.csv', '0.000242579']
['06466', '06466_0010777_cnn_inception100.csv', '0.000970756']
['06381', '06381_0003389_cnn_inception100.csv', '0.00355739']
['06227', '06227_0001354_cnn_inception100.csv', '0.00510909']
['06232', '06232_0004601_cnn_inception100.csv', '0.00282058']
['06186', '06186_0005601_cnn_inception100.csv', '0.00497257']
['06696', '06696_0002716_cnn_inception100.csv', '0.00138902']
['06901', '06901_0008434_cnn_inception100.csv', '0.0025862']
['06713', '06713_0006676_cnn_inception100.csv', '0.00457247']
['06914', '06914_0002399_cnn_inception100.csv', '0.00427701']
['07106', '07106_0003599_cnn_inception100.csv', '0.000167589']
['07386', '07386_0006317_cnn_inception100.csv', '0.0026817']
['07229', '07229_0018368_cnn_inception100.csv', '0.00261674']
['07119', '07119_0022962_cnn_inception100.csv', '0.00230858']
['07430', '07430_0013780_cnn_inception100.csv', '0.0200937']
