['00266', '00266_0004057_cnn_inception100.csv', '0.00120167']
['00188', '00188_0001218_cnn_inception100.csv', '0.00191182']
['00193', '00193_0005958_cnn_inception100.csv', '0.00154078']
['00380', '00380_0037607_cnn_inception100.csv', '0.00612285']
['00575', '00575_0028807_cnn_inception100.csv', '0.00164799']
['00933', '00933_0014408_cnn_inception100.csv', '0.00137604']
['01056', '01056_0009165_cnn_inception100.csv', '0.0133019']
['01510', '01510_0007227_cnn_inception100.csv', '0.0017479']
['01696', '01696_0001503_cnn_inception100.csv', '0.000208529']
['01703', '01703_0000433_cnn_inception100.csv', '0.000837648']
['02884', '02884_0002168_cnn_inception100.csv', '0.00192269']
['02328', '02328_0000093_cnn_inception100.csv', '0.00758818']
['02202', '02202_0012568_cnn_inception100.csv', '0.0027345']
['02258', '02258_0001650_cnn_inception100.csv', '0.00503779']
['03255', '03255_0000274_cnn_inception100.csv', '0.00229116']
['03055', '03055_0006095_cnn_inception100.csv', '0.00250436']
['03792', '03792_0007425_cnn_inception100.csv', '0.00363819']
['03862', '03862_0006820_cnn_inception100.csv', '0.0178194']
['03855', '03855_0005685_cnn_inception100.csv', '0.0052666']
['03963', '03963_0008185_cnn_inception100.csv', '0.00434908']
['03857', '03857_0010159_cnn_inception100.csv', '0.000208828']
['04548', '04548_0004424_cnn_inception100.csv', '0.00203744']
['05325', '05325_0001125_cnn_inception100.csv', '0.00407233']
['05605', '05605_0014528_cnn_inception100.csv', '0.00317355']
['05816', '05816_0001228_cnn_inception100.csv', '0.0167593']
['06367', '06367_0008135_cnn_inception100.csv', '0.00611885']
['06087', '06087_0003984_cnn_inception100.csv', '0.00145052']
['06231', '06231_0002042_cnn_inception100.csv', '0.00287767']
['07321', '07321_0003862_cnn_inception100.csv', '0.00835839']
