['00065', '00065_0005799_cnn_inception100.csv', '2.09646e-06']
['00001', '00001_0001302_cnn_inception100.csv', '0.000198023']
['00267', '00267_0005136_cnn_inception100.csv', '4.32001e-07']
['00189', '00189_0000604_cnn_inception100.csv', '0.00387198']
['00300', '00300_0017104_cnn_inception100.csv', '0.00300884']
['00280', '00280_0003839_cnn_inception100.csv', '3.3618e-06']
['00066', '00066_0002925_cnn_inception100.csv', '0.00153577']
['00467', '00467_0022586_cnn_inception100.csv', '0.00184692']
['00067', '00067_0000473_cnn_inception100.csv', '0.00547664']
['00334', '00334_0004825_cnn_inception100.csv', '4.55433e-07']
['00867', '00867_0021635_cnn_inception100.csv', '0.00121656']
['00561', '00561_0000402_cnn_inception100.csv', '0.00110672']
['00751', '00751_0006920_cnn_inception100.csv', '0.207542']
['00530', '00530_0001198_cnn_inception100.csv', '0.000127038']
['00761', '00761_0001354_cnn_inception100.csv', '0.00218773']
['00902', '00902_0004615_cnn_inception100.csv', '0.00206754']
['00825', '00825_0002477_cnn_inception100.csv', '2.57052e-06']
['01205', '01205_0003191_cnn_inception100.csv', '0.00211606']
['01040', '01040_0004426_cnn_inception100.csv', '4.97411e-05']
['01124', '01124_0006390_cnn_inception100.csv', '2.55317e-07']
['01433', '01433_0004298_cnn_inception100.csv', '0.00427043']
['01418', '01418_0001317_cnn_inception100.csv', '0.0458848']
['01411', '01411_0016469_cnn_inception100.csv', '0.0020659']
['01395', '01395_0005052_cnn_inception100.csv', '9.68308e-05']
['01669', '01669_0001873_cnn_inception100.csv', '0.00215966']
['01645', '01645_0003849_cnn_inception100.csv', '0.00330849']
['01745', '01745_0002497_cnn_inception100.csv', '0.00628667']
['01698', '01698_0001248_cnn_inception100.csv', '3.47272e-06']
['01639', '01639_0009790_cnn_inception100.csv', '3.1138e-06']
['01554', '01554_0000394_cnn_inception100.csv', '5.81102e-07']
['01935', '01935_0002490_cnn_inception100.csv', '0.00282843']
['02757', '02757_0007439_cnn_inception100.csv', '0.0115908']
['02876', '02876_0000707_cnn_inception100.csv', '1.17176e-05']
['02841', '02841_0000934_cnn_inception100.csv', '3.00143e-06']
['02606', '02606_0016449_cnn_inception100.csv', '0.00011914']
['02943', '02943_0005986_cnn_inception100.csv', '0.00108743']
['02988', '02988_0007963_cnn_inception100.csv', '0.000160416']
['02772', '02772_0006140_cnn_inception100.csv', '1.83652e-05']
['02561', '02561_0001850_cnn_inception100.csv', '0.00167376']
['02712', '02712_0001041_cnn_inception100.csv', '4.5075e-07']
['02359', '02359_0008508_cnn_inception100.csv', '9.32427e-08']
['02460', '02460_0004788_cnn_inception100.csv', '0.00181619']
['02380', '02380_0001756_cnn_inception100.csv', '0.008632']
['02168', '02168_0008445_cnn_inception100.csv', '0.00137872']
['02497', '02497_0013624_cnn_inception100.csv', '0.00113206']
['02098', '02098_0003041_cnn_inception100.csv', '0.00254911']
['02406', '02406_0000147_cnn_inception100.csv', '0.000562081']
['02173', '02173_0005008_cnn_inception100.csv', '0.00282883']
['03246', '03246_0012219_cnn_inception100.csv', '0.0032924']
['03073', '03073_0006004_cnn_inception100.csv', '0.00248296']
['03028', '03028_0004316_cnn_inception100.csv', '0.0058175']
['03387', '03387_0005740_cnn_inception100.csv', '0.000145223']
['03122', '03122_0007309_cnn_inception100.csv', '0.000270012']
['03066', '03066_0000366_cnn_inception100.csv', '0.0200479']
['03067', '03067_0013664_cnn_inception100.csv', '0.00305442']
['03085', '03085_0005001_cnn_inception100.csv', '0.00171021']
['03031', '03031_0005341_cnn_inception100.csv', '4.64541e-07']
['03052', '03052_0000414_cnn_inception100.csv', '9.39382e-06']
['03813', '03813_0005522_cnn_inception100.csv', '0.00856716']
['03792', '03792_0007425_cnn_inception100.csv', '0.00315013']
['03993', '03993_0001443_cnn_inception100.csv', '0.000472404']
['03799', '03799_0005028_cnn_inception100.csv', '1.69707e-07']
['03909', '03909_0000047_cnn_inception100.csv', '0.0127383']
['03511', '03511_0057329_cnn_inception100.csv', '0.000270537']
['04384', '04384_0008953_cnn_inception100.csv', '0.00113224']
['04364', '04364_0004133_cnn_inception100.csv', '2.58642e-05']
['04263', '04263_0000948_cnn_inception100.csv', '0.000616236']
['04429', '04429_0002638_cnn_inception100.csv', '0.00733323']
['04805', '04805_0003831_cnn_inception100.csv', '0.00545451']
['04504', '04504_0009250_cnn_inception100.csv', '0.00125982']
['04765', '04765_0002495_cnn_inception100.csv', '0.00157299']
['04592', '04592_0053561_cnn_inception100.csv', '0.00300786']
['04906', '04906_0003970_cnn_inception100.csv', '0.00160191']
['04943', '04943_0000379_cnn_inception100.csv', '0.00115755']
['04760', '04760_0002311_cnn_inception100.csv', '0.000660565']
['05313', '05313_0003240_cnn_inception100.csv', '0.00444459']
['05091', '05091_0003216_cnn_inception100.csv', '1.03104e-06']
['05467', '05467_0026594_cnn_inception100.csv', '0.00510776']
['05772', '05772_0024069_cnn_inception100.csv', '5.60948e-05']
['05917', '05917_0004888_cnn_inception100.csv', '4.70821e-07']
['05536', '05536_0004427_cnn_inception100.csv', '0.000953648']
['06108', '06108_0003169_cnn_inception100.csv', '0.00172995']
['06333', '06333_0006460_cnn_inception100.csv', '0.00788638']
['06035', '06035_0001702_cnn_inception100.csv', '5.34557e-05']
['06432', '06432_0001883_cnn_inception100.csv', '0.014652']
['06454', '06454_0007957_cnn_inception100.csv', '2.98867e-06']
['06553', '06553_0006980_cnn_inception100.csv', '0.000204878']
['06884', '06884_0001884_cnn_inception100.csv', '0.0109921']
['06609', '06609_0000860_cnn_inception100.csv', '0.00221701']
['06920', '06920_0004083_cnn_inception100.csv', '0.0012154']
['06643', '06643_0002488_cnn_inception100.csv', '0.00107147']
['06867', '06867_0000389_cnn_inception100.csv', '0.000562413']
['06856', '06856_0047894_cnn_inception100.csv', '0.00322711']
['06777', '06777_0001086_cnn_inception100.csv', '8.62111e-06']
['07072', '07072_0004570_cnn_inception100.csv', '3.12517e-06']
['07329', '07329_0001181_cnn_inception100.csv', '0.000740944']
['07413', '07413_0002421_cnn_inception100.csv', '0.00330172']
['07220', '07220_0005828_cnn_inception100.csv', '2.13011e-07']
['07377', '07377_0003641_cnn_inception100.csv', '0.000215437']
