['00272', '00272_0004488_cnn_inception100.csv', '2.56212e-05']
['00003', '00003_0004729_cnn_inception100.csv', '0.00168035']
['00614', '00614_0003880_cnn_inception100.csv', '0.0191885']
['01413', '01413_0007662_cnn_inception100.csv', '0.0338868']
['01248', '01248_0001028_cnn_inception100.csv', '0.0124797']
['01976', '01976_0008890_cnn_inception100.csv', '0.0102785']
['01659', '01659_0010477_cnn_inception100.csv', '0.00162134']
['01991', '01991_0004817_cnn_inception100.csv', '0.00116426']
['02124', '02124_0002042_cnn_inception100.csv', '0.000961261']
['02115', '02115_0004397_cnn_inception100.csv', '0.00237353']
['03076', '03076_0002061_cnn_inception100.csv', '0.00189869']
['03636', '03636_0002530_cnn_inception100.csv', '0.000299247']
['03602', '03602_0004957_cnn_inception100.csv', '0.00141563']
['04119', '04119_0003747_cnn_inception100.csv', '0.00241416']
['04898', '04898_0042921_cnn_inception100.csv', '1.88916e-05']
['05273', '05273_0005187_cnn_inception100.csv', '0.00210796']
['05451', '05451_0006334_cnn_inception100.csv', '0.00549881']
['05597', '05597_0008074_cnn_inception100.csv', '0.0026392']
['06072', '06072_0004225_cnn_inception100.csv', '0.000761835']
['06704', '06704_0013276_cnn_inception100.csv', '0.0028057']
['06788', '06788_0005764_cnn_inception100.csv', '0.0023909']
['06895', '06895_0004798_cnn_inception100.csv', '0.00160342']
['07276', '07276_0008789_cnn_inception100.csv', '0.00230031']
['07068', '07068_0003780_cnn_inception100.csv', '0.00175484']
