['00258', '00258_0013322_cnn_inception100.csv', '6.30332e-05']
['00216', '00216_0000132_cnn_inception100.csv', '0.0148273']
['00047', '00047_0000027_cnn_inception100.csv', '0.00172386']
['00412', '00412_0055717_cnn_inception100.csv', '0.00305593']
['00196', '00196_0001899_cnn_inception100.csv', '0.000996871']
['00359', '00359_0001694_cnn_inception100.csv', '0.00236552']
['00742', '00742_0000051_cnn_inception100.csv', '0.000947654']
['01382', '01382_0009822_cnn_inception100.csv', '0.00356327']
['01447', '01447_0008606_cnn_inception100.csv', '0.00875968']
['01466', '01466_0000262_cnn_inception100.csv', '0.0487433']
['01796', '01796_0000505_cnn_inception100.csv', '0.00498613']
['02735', '02735_0002457_cnn_inception100.csv', '0.00161662']
['02583', '02583_0006205_cnn_inception100.csv', '0.00200625']
['02582', '02582_0000241_cnn_inception100.csv', '0.0115081']
['02093', '02093_0000444_cnn_inception100.csv', '0.00463264']
['03488', '03488_0006027_cnn_inception100.csv', '7.77073e-05']
['03489', '03489_0028657_cnn_inception100.csv', '0.0016888']
['03614', '03614_0000138_cnn_inception100.csv', '0.0015346']
['03808', '03808_0010216_cnn_inception100.csv', '0.00209889']
['03874', '03874_0006781_cnn_inception100.csv', '0.00369442']
['03672', '03672_0004758_cnn_inception100.csv', '0.00307503']
['03931', '03931_0000818_cnn_inception100.csv', '0.00348555']
['05381', '05381_0004329_cnn_inception100.csv', '0.0251483']
['05487', '05487_0007650_cnn_inception100.csv', '0.00171224']
['05725', '05725_0080825_cnn_inception100.csv', '0.00155623']
['05618', '05618_0007454_cnn_inception100.csv', '0.00244252']
['06209', '06209_0010947_cnn_inception100.csv', '0.00195772']
['06365', '06365_0002829_cnn_inception100.csv', '0.00698024']
['06127', '06127_0002780_cnn_inception100.csv', '0.363121']
['06509', '06509_0006772_cnn_inception100.csv', '0.00212933']
['07109', '07109_0002796_cnn_inception100.csv', '0.00486243']
['07161', '07161_0000247_cnn_inception100.csv', '0.00383837']
