['00250', '00250_0003803_cnn_inception100.csv', '3.05741e-05']
['00376', '00376_0006847_cnn_inception100.csv', '0.00114476']
['00424', '00424_0008398_cnn_inception100.csv', '0.00137733']
['00286', '00286_0005010_cnn_inception100.csv', '0.00379127']
['00936', '00936_0005804_cnn_inception100.csv', '0.00236305']
['00930', '00930_0004895_cnn_inception100.csv', '0.00137696']
['01223', '01223_0005302_cnn_inception100.csv', '0.000453841']
['01784', '01784_0003310_cnn_inception100.csv', '0.00310424']
['01697', '01697_0002172_cnn_inception100.csv', '0.001796']
['02682', '02682_0006096_cnn_inception100.csv', '0.00235105']
['02608', '02608_0000925_cnn_inception100.csv', '0.00102342']
['02239', '02239_0000103_cnn_inception100.csv', '0.00112926']
['03154', '03154_0002321_cnn_inception100.csv', '0.000372295']
['03768', '03768_0001664_cnn_inception100.csv', '0.00150833']
['04035', '04035_0002333_cnn_inception100.csv', '0.00010627']
['04970', '04970_0001273_cnn_inception100.csv', '0.00849929']
['04761', '04761_0006900_cnn_inception100.csv', '0.000947542']
['05438', '05438_0004115_cnn_inception100.csv', '0.00147142']
['05339', '05339_0000218_cnn_inception100.csv', '0.00193955']
['05902', '05902_0002312_cnn_inception100.csv', '0.00111046']
['06450', '06450_0006873_cnn_inception100.csv', '0.00195037']
['06310', '06310_0003393_cnn_inception100.csv', '0.000102504']
['06273', '06273_0004536_cnn_inception100.csv', '0.00329865']
['06925', '06925_0002285_cnn_inception100.csv', '0.0012108']
['07087', '07087_0001984_cnn_inception100.csv', '0.00239587']
['07461', '07461_0004965_cnn_inception100.csv', '0.00177429']
['07046', '07046_0006064_cnn_inception100.csv', '0.000901021']
['07234', '07234_0004027_cnn_inception100.csv', '0.000980022']
