['00635', '00635_0004001_cnn_inception100.csv', '4.78935e-06']
['01377', '01377_0001948_cnn_inception100.csv', '0.00132754']
['01078', '01078_0000419_cnn_inception100.csv', '0.00179608']
['01474', '01474_0002406_cnn_inception100.csv', '0.000790523']
['01503', '01503_0006080_cnn_inception100.csv', '0.00600833']
['01877', '01877_0002166_cnn_inception100.csv', '0.0646351']
['02852', '02852_0003470_cnn_inception100.csv', '0.00400982']
['02165', '02165_0004061_cnn_inception100.csv', '5.79143e-05']
['02223', '02223_0002194_cnn_inception100.csv', '0.0118335']
['03419', '03419_0000367_cnn_inception100.csv', '0.0192884']
['03830', '03830_0002884_cnn_inception100.csv', '0.00370633']
['03617', '03617_0006186_cnn_inception100.csv', '0.000772195']
['03962', '03962_0004508_cnn_inception100.csv', '0.359957']
['03979', '03979_0006672_cnn_inception100.csv', '0.0141832']
['03573', '03573_0003116_cnn_inception100.csv', '0.00433048']
['04127', '04127_0007020_cnn_inception100.csv', '0.0027152']
['04324', '04324_0002953_cnn_inception100.csv', '0.000872868']
['04897', '04897_0001563_cnn_inception100.csv', '0.0048552']
['04772', '04772_0006232_cnn_inception100.csv', '0.114248']
['05211', '05211_0008466_cnn_inception100.csv', '0.000956382']
['05386', '05386_0016102_cnn_inception100.csv', '0.000840238']
['05107', '05107_0001191_cnn_inception100.csv', '0.000130496']
['05529', '05529_0002329_cnn_inception100.csv', '3.99818e-06']
['05687', '05687_0000472_cnn_inception100.csv', '0.00251017']
['05600', '05600_0009896_cnn_inception100.csv', '9.56422e-06']
['06417', '06417_0002893_cnn_inception100.csv', '0.00215639']
['06083', '06083_0003389_cnn_inception100.csv', '0.000297162']
['06038', '06038_0003117_cnn_inception100.csv', '0.000739104']
['06175', '06175_0000811_cnn_inception100.csv', '0.000475201']
['06729', '06729_0007943_cnn_inception100.csv', '0.000156565']
['07457', '07457_0004483_cnn_inception100.csv', '0.0041826']
['07132', '07132_0004865_cnn_inception100.csv', '0.0012794']
