['00168', '00168_0011620_cnn_inception100.csv', '0.00199626']
['00104', '00104_0008301_cnn_inception100.csv', '0.00196617']
['00307', '00307_0034420_cnn_inception100.csv', '0.00162716']
['00049', '00049_0013148_cnn_inception100.csv', '0.00211413']
['00386', '00386_0010636_cnn_inception100.csv', '0.00312201']
['00335', '00335_0001693_cnn_inception100.csv', '0.00186352']
['00608', '00608_0027633_cnn_inception100.csv', '0.00180321']
['00716', '00716_0005857_cnn_inception100.csv', '0.00428989']
['00870', '00870_0000892_cnn_inception100.csv', '0.00357078']
['00683', '00683_0002216_cnn_inception100.csv', '0.00308113']
['01143', '01143_0011856_cnn_inception100.csv', '0.00146637']
['01256', '01256_0009109_cnn_inception100.csv', '0.00231645']
['01260', '01260_0018068_cnn_inception100.csv', '0.0010413']
['01423', '01423_0002187_cnn_inception100.csv', '3.99457e-05']
['01083', '01083_0023586_cnn_inception100.csv', '0.00681742']
['01252', '01252_0007131_cnn_inception100.csv', '0.00296965']
['01058', '01058_0004448_cnn_inception100.csv', '0.00668019']
['01035', '01035_0005718_cnn_inception100.csv', '0.00402329']
['01695', '01695_0016542_cnn_inception100.csv', '0.00255107']
['01943', '01943_0000636_cnn_inception100.csv', '0.00237204']
['01917', '01917_0001087_cnn_inception100.csv', '0.00177178']
['01646', '01646_0001953_cnn_inception100.csv', '0.000583708']
['01649', '01649_0010979_cnn_inception100.csv', '0.000651823']
['02703', '02703_0001495_cnn_inception100.csv', '0.00498503']
['02508', '02508_0004075_cnn_inception100.csv', '0.0022515']
['02609', '02609_0007463_cnn_inception100.csv', '0.00367898']
['02636', '02636_0002265_cnn_inception100.csv', '0.00653213']
['02654', '02654_0002430_cnn_inception100.csv', '0.00263691']
['02896', '02896_0004023_cnn_inception100.csv', '0.00228309']
['02522', '02522_0016960_cnn_inception100.csv', '0.00264635']
['02533', '02533_0024710_cnn_inception100.csv', '0.00212541']
['02212', '02212_0006987_cnn_inception100.csv', '0.00333545']
['02459', '02459_0004522_cnn_inception100.csv', '0.00603495']
['02167', '02167_0012144_cnn_inception100.csv', '0.00544599']
['02150', '02150_0001073_cnn_inception100.csv', '0.00177693']
['02401', '02401_0016715_cnn_inception100.csv', '0.00155983']
['03045', '03045_0013405_cnn_inception100.csv', '0.00345062']
['03059', '03059_0005601_cnn_inception100.csv', '0.00367173']
['03060', '03060_0003167_cnn_inception100.csv', '0.0122996']
['03005', '03005_0000271_cnn_inception100.csv', '0.00159322']
['03917', '03917_0000155_cnn_inception100.csv', '0.0063559']
['03593', '03593_0008757_cnn_inception100.csv', '0.00159183']
['03526', '03526_0004683_cnn_inception100.csv', '0.00413607']
['03804', '03804_0001798_cnn_inception100.csv', '0.00178062']
['03661', '03661_0032745_cnn_inception100.csv', '0.0165088']
['04497', '04497_0001448_cnn_inception100.csv', '0.00344842']
['04053', '04053_0011936_cnn_inception100.csv', '0.00470566']
['04065', '04065_0004312_cnn_inception100.csv', '0.00437263']
['04128', '04128_0000988_cnn_inception100.csv', '0.0215179']
['04061', '04061_0064864_cnn_inception100.csv', '0.00745267']
['04148', '04148_0007910_cnn_inception100.csv', '0.00541817']
['04225', '04225_0016651_cnn_inception100.csv', '0.00392185']
['04868', '04868_0030061_cnn_inception100.csv', '0.00299402']
['04850', '04850_0048841_cnn_inception100.csv', '0.0053783']
['04925', '04925_0022552_cnn_inception100.csv', '0.00877185']
['04581', '04581_0005408_cnn_inception100.csv', '0.0081615']
['04566', '04566_0000068_cnn_inception100.csv', '0.000368981']
['04645', '04645_0003888_cnn_inception100.csv', '0.00259301']
['04697', '04697_0001161_cnn_inception100.csv', '0.00608545']
