['00455', '00455_0003571_cnn_inception100.csv', '0.000189028']
['00009', '00009_0005342_cnn_inception100.csv', '0.00167914']
['00383', '00383_0005211_cnn_inception100.csv', '0.00436564']
['00441', '00441_0000478_cnn_inception100.csv', '0.00453023']
['00208', '00208_0001371_cnn_inception100.csv', '0.00306323']
['00179', '00179_0003039_cnn_inception100.csv', '0.0121067']
['00138', '00138_0006070_cnn_inception100.csv', '0.00137163']
['00489', '00489_0005381_cnn_inception100.csv', '0.000660039']
['00249', '00249_0005488_cnn_inception100.csv', '0.00172782']
['00416', '00416_0001383_cnn_inception100.csv', '0.000250908']
['00528', '00528_0007226_cnn_inception100.csv', '0.00362894']
['00545', '00545_0006225_cnn_inception100.csv', '0.00250698']
['00953', '00953_0001417_cnn_inception100.csv', '0.00847386']
['00764', '00764_0001274_cnn_inception100.csv', '0.000696988']
['00888', '00888_0003436_cnn_inception100.csv', '0.00124696']
['00865', '00865_0020623_cnn_inception100.csv', '0.00159283']
['01313', '01313_0002517_cnn_inception100.csv', '0.0033542']
['01039', '01039_0000065_cnn_inception100.csv', '0.00208109']
['01453', '01453_0004124_cnn_inception100.csv', '0.00207475']
['01470', '01470_0008367_cnn_inception100.csv', '0.000418857']
['01079', '01079_0005332_cnn_inception100.csv', '0.00324461']
['01023', '01023_0003587_cnn_inception100.csv', '0.00318765']
['01355', '01355_0000501_cnn_inception100.csv', '0.00119149']
['01195', '01195_0009142_cnn_inception100.csv', '0.000987859']
['01132', '01132_0003456_cnn_inception100.csv', '0.00560042']
['01338', '01338_0000081_cnn_inception100.csv', '0.00195351']
['01492', '01492_0018504_cnn_inception100.csv', '7.74285e-05']
['01450', '01450_0007958_cnn_inception100.csv', '0.00309698']
['01296', '01296_0004875_cnn_inception100.csv', '0.0021634']
['01542', '01542_0000851_cnn_inception100.csv', '0.00204351']
['01581', '01581_0003225_cnn_inception100.csv', '0.00368589']
['01858', '01858_0005610_cnn_inception100.csv', '0.0022568']
['01964', '01964_0002527_cnn_inception100.csv', '5.73011e-05']
['01763', '01763_0001650_cnn_inception100.csv', '0.000988172']
['01807', '01807_0010212_cnn_inception100.csv', '0.00362043']
['01652', '01652_0002907_cnn_inception100.csv', '0.00231354']
['01876', '01876_0030481_cnn_inception100.csv', '0.00199121']
['01671', '01671_0004042_cnn_inception100.csv', '0.00769605']
['01682', '01682_0009961_cnn_inception100.csv', '0.00371402']
['01507', '01507_0009954_cnn_inception100.csv', '6.23314e-06']
['02848', '02848_0026719_cnn_inception100.csv', '0.00118744']
['02584', '02584_0008796_cnn_inception100.csv', '0.00445949']
['02739', '02739_0019975_cnn_inception100.csv', '0.0014974']
['02821', '02821_0001492_cnn_inception100.csv', '0.00125757']
