['00217', '00217_0010083_cnn_inception100.csv', '0.00191456']
['00207', '00207_0005745_cnn_inception100.csv', '0.00121384']
['00368', '00368_0000836_cnn_inception100.csv', '0.000452456']
['00694', '00694_0001167_cnn_inception100.csv', '0.00132889']
['00724', '00724_0000103_cnn_inception100.csv', '0.00254495']
['00520', '00520_0005017_cnn_inception100.csv', '0.00351386']
['00996', '00996_0000418_cnn_inception100.csv', '0.00387638']
['00787', '00787_0002230_cnn_inception100.csv', '0.00245383']
['00932', '00932_0001675_cnn_inception100.csv', '0.00133724']
['00967', '00967_0002938_cnn_inception100.csv', '0.00149217']
['00846', '00846_0005141_cnn_inception100.csv', '0.00433096']
['01129', '01129_0001590_cnn_inception100.csv', '1.85246e-05']
['01467', '01467_0003353_cnn_inception100.csv', '0.00142593']
['01276', '01276_0011453_cnn_inception100.csv', '0.000720177']
['01863', '01863_0004494_cnn_inception100.csv', '0.000100245']
['01732', '01732_0003705_cnn_inception100.csv', '0.0156602']
['02994', '02994_0004778_cnn_inception100.csv', '0.00323969']
['02640', '02640_0005059_cnn_inception100.csv', '0.00442242']
['02918', '02918_0026247_cnn_inception100.csv', '0.00095069']
['02566', '02566_0003434_cnn_inception100.csv', '0.00238797']
['02627', '02627_0010385_cnn_inception100.csv', '0.00151629']
['02029', '02029_0000921_cnn_inception100.csv', '0.00215972']
['02002', '02002_0006960_cnn_inception100.csv', '0.000894786']
['02298', '02298_0008626_cnn_inception100.csv', '0.00301228']
['02105', '02105_0001383_cnn_inception100.csv', '0.00297999']
['02453', '02453_0001874_cnn_inception100.csv', '0.00161815']
['02325', '02325_0005146_cnn_inception100.csv', '0.000923398']
['03316', '03316_0001314_cnn_inception100.csv', '0.00025206']
['03320', '03320_0013023_cnn_inception100.csv', '0.00349335']
['03178', '03178_0002218_cnn_inception100.csv', '0.00141167']
['03390', '03390_0004858_cnn_inception100.csv', '0.000848649']
['03397', '03397_0009559_cnn_inception100.csv', '0.00110593']
['03181', '03181_0002282_cnn_inception100.csv', '0.00180188']
['03524', '03524_0001303_cnn_inception100.csv', '5.17029e-05']
['03722', '03722_0003003_cnn_inception100.csv', '0.00156203']
['04257', '04257_0006679_cnn_inception100.csv', '0.00073475']
['04414', '04414_0003956_cnn_inception100.csv', '0.000787949']
['04068', '04068_0037709_cnn_inception100.csv', '0.000313014']
['04321', '04321_0004883_cnn_inception100.csv', '0.0042656']
['04387', '04387_0001251_cnn_inception100.csv', '0.00181158']
['04304', '04304_0002735_cnn_inception100.csv', '0.0009665']
['04657', '04657_0005974_cnn_inception100.csv', '1.03928e-05']
['04922', '04922_0000369_cnn_inception100.csv', '0.00112327']
['04897', '04897_0001563_cnn_inception100.csv', '0.00224515']
['04808', '04808_0004409_cnn_inception100.csv', '0.00297616']
['04772', '04772_0006232_cnn_inception100.csv', '2.18011e-05']
['05248', '05248_0005253_cnn_inception100.csv', '0.000235264']
['05528', '05528_0002804_cnn_inception100.csv', '3.55987e-05']
['05574', '05574_0000131_cnn_inception100.csv', '8.77755e-07']
['05737', '05737_0001457_cnn_inception100.csv', '0.00185156']
['05504', '05504_0002381_cnn_inception100.csv', '0.0024852']
['05716', '05716_0006321_cnn_inception100.csv', '0.00453496']
['06164', '06164_0000299_cnn_inception100.csv', '0.000645342']
['06469', '06469_0000102_cnn_inception100.csv', '0.000240915']
['06083', '06083_0003389_cnn_inception100.csv', '2.53259e-06']
['06379', '06379_0004207_cnn_inception100.csv', '0.000221268']
['06501', '06501_0001824_cnn_inception100.csv', '0.00160831']
['06652', '06652_0005016_cnn_inception100.csv', '0.00895864']
['06771', '06771_0001829_cnn_inception100.csv', '0.00274617']
['07418', '07418_0001637_cnn_inception100.csv', '0.00603621']
['07138', '07138_0006701_cnn_inception100.csv', '0.00236709']
['07226', '07226_0005509_cnn_inception100.csv', '0.00486535']
['07091', '07091_0005372_cnn_inception100.csv', '0.00352986']
