['00423', '00423_0006718_cnn_inception100.csv', '0.0256237']
['00424', '00424_0008398_cnn_inception100.csv', '0.00221805']
['00681', '00681_0000572_cnn_inception100.csv', '0.00282667']
['01352', '01352_0003426_cnn_inception100.csv', '0.0020251']
['01104', '01104_0002145_cnn_inception100.csv', '0.00219348']
['01089', '01089_0054169_cnn_inception100.csv', '0.00748276']
['01131', '01131_0000273_cnn_inception100.csv', '0.00375703']
['01666', '01666_0001114_cnn_inception100.csv', '0.00339873']
['02994', '02994_0004778_cnn_inception100.csv', '0.00340124']
['02989', '02989_0005603_cnn_inception100.csv', '0.00543269']
['02629', '02629_0006191_cnn_inception100.csv', '0.00410556']
['02018', '02018_0000778_cnn_inception100.csv', '0.00617698']
['03368', '03368_0000765_cnn_inception100.csv', '0.000153461']
['03265', '03265_0002386_cnn_inception100.csv', '0.0144537']
['03181', '03181_0002282_cnn_inception100.csv', '0.0172125']
['03001', '03001_0003893_cnn_inception100.csv', '0.000345403']
['03716', '03716_0001100_cnn_inception100.csv', '0.00473695']
['03570', '03570_0003438_cnn_inception100.csv', '0.00269936']
['04463', '04463_0008382_cnn_inception100.csv', '0.00353814']
['04188', '04188_0000693_cnn_inception100.csv', '0.00387584']
['04382', '04382_0001388_cnn_inception100.csv', '0.0110344']
['04101', '04101_0025535_cnn_inception100.csv', '0.000473562']
['04994', '04994_0003641_cnn_inception100.csv', '0.00119939']
['04648', '04648_0004443_cnn_inception100.csv', '0.00495801']
['05300', '05300_0017258_cnn_inception100.csv', '0.0039337']
['05432', '05432_0002922_cnn_inception100.csv', '0.000593131']
['05248', '05248_0005253_cnn_inception100.csv', '0.0059652']
['05162', '05162_0006334_cnn_inception100.csv', '0.00466155']
['05500', '05500_0001234_cnn_inception100.csv', '0.00304697']
['05913', '05913_0006435_cnn_inception100.csv', '0.00355073']
['05736', '05736_0015048_cnn_inception100.csv', '0.00299952']
['05853', '05853_0002293_cnn_inception100.csv', '0.00188795']
['06060', '06060_0003410_cnn_inception100.csv', '0.0023426']
['06490', '06490_0001615_cnn_inception100.csv', '0.000245227']
['06324', '06324_0054025_cnn_inception100.csv', '0.000894119']
['06379', '06379_0004207_cnn_inception100.csv', '0.00105748']
['06637', '06637_0000815_cnn_inception100.csv', '0.0137855']
['06652', '06652_0005016_cnn_inception100.csv', '0.0337361']
['06807', '06807_0006192_cnn_inception100.csv', '0.00434457']
['06534', '06534_0001648_cnn_inception100.csv', '0.00346872']
