['00204', '00204_0003175_cnn_inception100.csv', '0.00137412']
['00102', '00102_0001202_cnn_inception100.csv', '0.000384705']
['00079', '00079_0000477_cnn_inception100.csv', '0.00242407']
['00983', '00983_0004973_cnn_inception100.csv', '0.00137627']
['00962', '00962_0007775_cnn_inception100.csv', '0.0091127']
['00980', '00980_0045328_cnn_inception100.csv', '0.0050127']
['00968', '00968_0004645_cnn_inception100.csv', '0.0115901']
['01141', '01141_0002168_cnn_inception100.csv', '0.00503876']
['01276', '01276_0011453_cnn_inception100.csv', '0.0341437']
['01658', '01658_0004895_cnn_inception100.csv', '0.006734']
['02623', '02623_0008007_cnn_inception100.csv', '0.00094428']
['02699', '02699_0005038_cnn_inception100.csv', '0.000371547']
['02952', '02952_0002865_cnn_inception100.csv', '0.00258765']
['02130', '02130_0004491_cnn_inception100.csv', '0.00496379']
['02312', '02312_0006551_cnn_inception100.csv', '0.00611846']
['03333', '03333_0001392_cnn_inception100.csv', '0.00048498']
['03117', '03117_0005782_cnn_inception100.csv', '7.50982e-05']
['03234', '03234_0002046_cnn_inception100.csv', '0.000269723']
['03617', '03617_0006186_cnn_inception100.csv', '0.00205779']
['04080', '04080_0000260_cnn_inception100.csv', '0.00535545']
['04657', '04657_0005974_cnn_inception100.csv', '7.18664e-05']
['04503', '04503_0001784_cnn_inception100.csv', '0.00171716']
['04642', '04642_0004485_cnn_inception100.csv', '6.43741e-05']
['05243', '05243_0005444_cnn_inception100.csv', '0.000760057']
['05296', '05296_0002728_cnn_inception100.csv', '0.00850183']
['05529', '05529_0002329_cnn_inception100.csv', '2.24602e-06']
['05603', '05603_0002857_cnn_inception100.csv', '0.00550996']
['05930', '05930_0006278_cnn_inception100.csv', '0.000309419']
['06279', '06279_0004007_cnn_inception100.csv', '2.16383e-05']
['06044', '06044_0004706_cnn_inception100.csv', '0.00439241']
['06068', '06068_0001738_cnn_inception100.csv', '0.00119439']
['06404', '06404_0004030_cnn_inception100.csv', '0.00308498']
['06354', '06354_0003720_cnn_inception100.csv', '0.00329458']
['06379', '06379_0004207_cnn_inception100.csv', '8.89631e-05']
['06865', '06865_0003218_cnn_inception100.csv', '0.00107154']
['06577', '06577_0006059_cnn_inception100.csv', '0.00190992']
