['00377', '00377_0003723_cnn_inception100.csv', '1.01869e-05']
['00004', '00004_0002990_cnn_inception100.csv', '0.00114977']
['00627', '00627_0002938_cnn_inception100.csv', '0.0385475']
['00571', '00571_0022306_cnn_inception100.csv', '0.00266498']
['00760', '00760_0005901_cnn_inception100.csv', '0.00309447']
['01121', '01121_0003799_cnn_inception100.csv', '0.000537959']
['01354', '01354_0002092_cnn_inception100.csv', '0.0106602']
['01061', '01061_0000670_cnn_inception100.csv', '0.003869']
['01771', '01771_0000766_cnn_inception100.csv', '0.00165115']
['01635', '01635_0004229_cnn_inception100.csv', '0.00101478']
['01962', '01962_0012215_cnn_inception100.csv', '0.000262016']
['01614', '01614_0005861_cnn_inception100.csv', '0.00425098']
['02647', '02647_0000865_cnn_inception100.csv', '0.000304143']
['02944', '02944_0004048_cnn_inception100.csv', '0.00075832']
['02523', '02523_0007898_cnn_inception100.csv', '0.0179093']
['02199', '02199_0004748_cnn_inception100.csv', '0.00476956']
['02489', '02489_0000273_cnn_inception100.csv', '0.00259181']
['02249', '02249_0003188_cnn_inception100.csv', '0.00151287']
['02244', '02244_0005780_cnn_inception100.csv', '0.00102118']
['02383', '02383_0026826_cnn_inception100.csv', '0.00275576']
['03278', '03278_0015027_cnn_inception100.csv', '0.00235359']
['03130', '03130_0004059_cnn_inception100.csv', '0.00110768']
['03023', '03023_0005694_cnn_inception100.csv', '0.000571174']
['03847', '03847_0002629_cnn_inception100.csv', '0.00910516']
['03642', '03642_0017949_cnn_inception100.csv', '0.000409342']
['03791', '03791_0005235_cnn_inception100.csv', '0.000230235']
['03983', '03983_0001934_cnn_inception100.csv', '0.00414842']
['04034', '04034_0005643_cnn_inception100.csv', '0.00479752']
['04318', '04318_0004643_cnn_inception100.csv', '0.00302609']
['04938', '04938_0005403_cnn_inception100.csv', '0.00144063']
['04665', '04665_0002075_cnn_inception100.csv', '0.00131116']
['05441', '05441_0003961_cnn_inception100.csv', '0.00175519']
['05141', '05141_0002253_cnn_inception100.csv', '0.000578917']
['05572', '05572_0002678_cnn_inception100.csv', '0.00249196']
['05630', '05630_0002955_cnn_inception100.csv', '0.00255279']
['05884', '05884_0002278_cnn_inception100.csv', '0.00514829']
['05992', '05992_0000749_cnn_inception100.csv', '0.00271296']
['06305', '06305_0003745_cnn_inception100.csv', '0.00224047']
['06058', '06058_0003432_cnn_inception100.csv', '0.00250412']
['06348', '06348_0004154_cnn_inception100.csv', '0.002326']
['06974', '06974_0002373_cnn_inception100.csv', '0.00137067']
['06721', '06721_0000886_cnn_inception100.csv', '0.00136698']
['06754', '06754_0008106_cnn_inception100.csv', '0.000340208']
['06817', '06817_0006233_cnn_inception100.csv', '0.00106212']
['06915', '06915_0005083_cnn_inception100.csv', '0.00127536']
['07410', '07410_0004675_cnn_inception100.csv', '0.0209271']
['07121', '07121_0000799_cnn_inception100.csv', '0.00518265']
['07383', '07383_0004435_cnn_inception100.csv', '0.000517394']
['07261', '07261_0003245_cnn_inception100.csv', '0.00264885']
