['00724', '00724_0000103_cnn_inception100.csv', '0.0028579']
['01467', '01467_0003353_cnn_inception100.csv', '0.00115441']
['01089', '01089_0054169_cnn_inception100.csv', '0.0475311']
['01828', '01828_0004057_cnn_inception100.csv', '0.00227704']
['02992', '02992_0001586_cnn_inception100.csv', '0.00363866']
['02855', '02855_0010837_cnn_inception100.csv', '0.00187596']
['02697', '02697_0018708_cnn_inception100.csv', '0.00301663']
['02500', '02500_0002297_cnn_inception100.csv', '0.000226519']
['04386', '04386_0006016_cnn_inception100.csv', '0.00218312']
['04284', '04284_0003220_cnn_inception100.csv', '0.00123696']
['05479', '05479_0003487_cnn_inception100.csv', '0.00179676']
['05432', '05432_0002922_cnn_inception100.csv', '1.86181e-05']
['05248', '05248_0005253_cnn_inception100.csv', '0.133632']
['05907', '05907_0000223_cnn_inception100.csv', '0.00222516']
['06490', '06490_0001615_cnn_inception100.csv', '0.000502519']
['06379', '06379_0004207_cnn_inception100.csv', '0.000894499']
['06967', '06967_0003651_cnn_inception100.csv', '0.0010092']
['06637', '06637_0000815_cnn_inception100.csv', '0.00167332']
['06652', '06652_0005016_cnn_inception100.csv', '0.00150443']
['06724', '06724_0004383_cnn_inception100.csv', '3.14793e-05']
['07388', '07388_0001460_cnn_inception100.csv', '0.00188432']
