['00401', '00401_0015457_cnn_inception100.csv', '0.000123411']
['00070', '00070_0010063_cnn_inception100.csv', '0.000351468']
['00381', '00381_0000903_cnn_inception100.csv', '0.000296982']
['00368', '00368_0000836_cnn_inception100.csv', '0.00164914']
['00724', '00724_0000103_cnn_inception100.csv', '0.0312107']
['01128', '01128_0003089_cnn_inception100.csv', '0.000204475']
['01104', '01104_0002145_cnn_inception100.csv', '0.000588362']
['01863', '01863_0004494_cnn_inception100.csv', '0.000904553']
['01599', '01599_0000652_cnn_inception100.csv', '1.46227e-05']
['02501', '02501_0009655_cnn_inception100.csv', '0.000624019']
['02871', '02871_0002467_cnn_inception100.csv', '3.61676e-05']
['02361', '02361_0004741_cnn_inception100.csv', '5.71826e-05']
['02325', '02325_0005146_cnn_inception100.csv', '0.00299947']
['03361', '03361_0011260_cnn_inception100.csv', '0.00136593']
['03390', '03390_0004858_cnn_inception100.csv', '0.000612257']
['03181', '03181_0002282_cnn_inception100.csv', '0.00299605']
['04258', '04258_0015529_cnn_inception100.csv', '0.00481975']
['04382', '04382_0001388_cnn_inception100.csv', '0.0032029']
['04321', '04321_0004883_cnn_inception100.csv', '0.0148414']
['04922', '04922_0000369_cnn_inception100.csv', '0.00308007']
['04719', '04719_0007895_cnn_inception100.csv', '0.000590605']
['05528', '05528_0002804_cnn_inception100.csv', '0.00156768']
['05853', '05853_0002293_cnn_inception100.csv', '0.00185427']
['06652', '06652_0005016_cnn_inception100.csv', '0.00102352']
