['00062', '00062_0005274_cnn_inception100.csv', '0.00418443']
['00180', '00180_0004175_cnn_inception100.csv', '0.00171754']
['00126', '00126_0004936_cnn_inception100.csv', '0.00786713']
['00227', '00227_0000859_cnn_inception100.csv', '0.00086829']
['00447', '00447_0001427_cnn_inception100.csv', '0.138502']
['00024', '00024_0021848_cnn_inception100.csv', '0.000695174']
['00005', '00005_0007863_cnn_inception100.csv', '0.00315908']
['00388', '00388_0005091_cnn_inception100.csv', '0.00287958']
['00109', '00109_0030667_cnn_inception100.csv', '0.00989768']
['00667', '00667_0005547_cnn_inception100.csv', '0.0653528']
['00857', '00857_0002226_cnn_inception100.csv', '0.00261625']
['00964', '00964_0000643_cnn_inception100.csv', '0.00733988']
['00568', '00568_0004980_cnn_inception100.csv', '0.000566966']
['00801', '00801_0004142_cnn_inception100.csv', '0.0019626']
['00599', '00599_0002172_cnn_inception100.csv', '0.00227233']
['00951', '00951_0001866_cnn_inception100.csv', '0.00256474']
['00956', '00956_0001659_cnn_inception100.csv', '0.00126721']
['00648', '00648_0001566_cnn_inception100.csv', '0.00282926']
['01117', '01117_0002393_cnn_inception100.csv', '0.000679958']
['01376', '01376_0007251_cnn_inception100.csv', '0.00278083']
['01116', '01116_0006402_cnn_inception100.csv', '0.00345166']
['01006', '01006_0004424_cnn_inception100.csv', '0.00163808']
['01281', '01281_0009583_cnn_inception100.csv', '0.0020979']
['01169', '01169_0003608_cnn_inception100.csv', '0.00146029']
['01381', '01381_0002370_cnn_inception100.csv', '0.00480411']
['01299', '01299_0003076_cnn_inception100.csv', '0.00580387']
['01200', '01200_0013262_cnn_inception100.csv', '0.0161293']
['01493', '01493_0004610_cnn_inception100.csv', '0.00410988']
['01240', '01240_0004765_cnn_inception100.csv', '0.00620089']
['01923', '01923_0000004_cnn_inception100.csv', '0.670494']
['01575', '01575_0007468_cnn_inception100.csv', '0.00125511']
['01651', '01651_0001986_cnn_inception100.csv', '0.00692916']
['01616', '01616_0011709_cnn_inception100.csv', '0.00620603']
['01754', '01754_0004159_cnn_inception100.csv', '3.9514e-05']
['01909', '01909_0004021_cnn_inception100.csv', '0.00210358']
['01787', '01787_0011221_cnn_inception100.csv', '0.0029379']
['01775', '01775_0008099_cnn_inception100.csv', '0.00113525']
['01897', '01897_0011809_cnn_inception100.csv', '0.0174408']
['01664', '01664_0004355_cnn_inception100.csv', '0.0129428']
['01871', '01871_0002223_cnn_inception100.csv', '0.0119454']
['01596', '01596_0002657_cnn_inception100.csv', '0.00376685']
['02905', '02905_0001873_cnn_inception100.csv', '0.000206609']
['02563', '02563_0003343_cnn_inception100.csv', '0.275783']
['02884', '02884_0002168_cnn_inception100.csv', '0.103858']
['02613', '02613_0002711_cnn_inception100.csv', '0.00166131']
['02655', '02655_0004435_cnn_inception100.csv', '0.0573628']
['02910', '02910_0006578_cnn_inception100.csv', '0.0202771']
['02726', '02726_0006425_cnn_inception100.csv', '0.167955']
['02798', '02798_0006630_cnn_inception100.csv', '0.000875111']
['02888', '02888_0003768_cnn_inception100.csv', '0.00649272']
['02842', '02842_0003487_cnn_inception100.csv', '0.00400811']
['02661', '02661_0000967_cnn_inception100.csv', '0.000194344']
['02667', '02667_0004088_cnn_inception100.csv', '0.0122805']
['02861', '02861_0005314_cnn_inception100.csv', '0.00300471']
['02748', '02748_0006817_cnn_inception100.csv', '0.00295271']
['02543', '02543_0003025_cnn_inception100.csv', '0.00364501']
['02334', '02334_0000610_cnn_inception100.csv', '0.0017804']
['02304', '02304_0001870_cnn_inception100.csv', '0.00146368']
['02368', '02368_0007747_cnn_inception100.csv', '0.0019828']
['02019', '02019_0005296_cnn_inception100.csv', '0.0812726']
