['00117', '00117_0005989_cnn_inception100.csv', '7.29455e-05']
['00314', '00314_0025803_cnn_inception100.csv', '0.00183681']
['00440', '00440_0004247_cnn_inception100.csv', '2.47705e-05']
['00446', '00446_0001072_cnn_inception100.csv', '0.00208442']
['00693', '00693_0000891_cnn_inception100.csv', '0.00634033']
['00893', '00893_0018441_cnn_inception100.csv', '0.0949995']
['00544', '00544_0000721_cnn_inception100.csv', '0.0233822']
['00655', '00655_0011854_cnn_inception100.csv', '0.00054357']
['00808', '00808_0002789_cnn_inception100.csv', '0.00145154']
['00578', '00578_0001048_cnn_inception100.csv', '0.00866912']
['00993', '00993_0004984_cnn_inception100.csv', '0.00202978']
['01382', '01382_0009822_cnn_inception100.csv', '0.00147465']
['01452', '01452_0008766_cnn_inception100.csv', '0.00101638']
['01115', '01115_0021012_cnn_inception100.csv', '0.00546363']
['01282', '01282_0006562_cnn_inception100.csv', '0.00220358']
['01108', '01108_0000056_cnn_inception100.csv', '0.000235873']
['01572', '01572_0012727_cnn_inception100.csv', '0.0993304']
['01851', '01851_0003823_cnn_inception100.csv', '0.00213506']
['01583', '01583_0000029_cnn_inception100.csv', '0.00143474']
['01920', '01920_0035960_cnn_inception100.csv', '0.000638629']
['01847', '01847_0039374_cnn_inception100.csv', '0.00388881']
['01733', '01733_0011285_cnn_inception100.csv', '1.27469e-06']
['02710', '02710_0005314_cnn_inception100.csv', '0.00089116']
['02701', '02701_0000383_cnn_inception100.csv', '0.0735684']
['02558', '02558_0000118_cnn_inception100.csv', '0.00277463']
['02936', '02936_0005954_cnn_inception100.csv', '0.00546152']
['02467', '02467_0000658_cnn_inception100.csv', '0.00451321']
['02046', '02046_0001472_cnn_inception100.csv', '0.00128457']
['02313', '02313_0017423_cnn_inception100.csv', '0.150406']
['03223', '03223_0006285_cnn_inception100.csv', '0.011703']
['03425', '03425_0000228_cnn_inception100.csv', '0.0226762']
['03013', '03013_0004394_cnn_inception100.csv', '0.00467252']
['03151', '03151_0000790_cnn_inception100.csv', '0.00737039']
['03383', '03383_0004164_cnn_inception100.csv', '0.00450834']
['03188', '03188_0000111_cnn_inception100.csv', '0.00452956']
['03436', '03436_0003890_cnn_inception100.csv', '0.0297417']
['03646', '03646_0000492_cnn_inception100.csv', '0.00054978']
['03975', '03975_0001466_cnn_inception100.csv', '0.00443674']
['03672', '03672_0004758_cnn_inception100.csv', '0.073979']
['03724', '03724_0002937_cnn_inception100.csv', '0.0116862']
['04991', '04991_0011028_cnn_inception100.csv', '0.0117638']
['04842', '04842_0027325_cnn_inception100.csv', '0.00146572']
['04745', '04745_0008686_cnn_inception100.csv', '0.00672486']
['04590', '04590_0000327_cnn_inception100.csv', '0.00498505']
['04840', '04840_0013285_cnn_inception100.csv', '3.92061e-05']
['04623', '04623_0000374_cnn_inception100.csv', '0.00721167']
['05181', '05181_0000173_cnn_inception100.csv', '0.00203003']
['05001', '05001_0025093_cnn_inception100.csv', '5.99172e-05']
['05217', '05217_0014215_cnn_inception100.csv', '0.00244277']
['05309', '05309_0008975_cnn_inception100.csv', '0.00263351']
['05109', '05109_0005631_cnn_inception100.csv', '0.0155634']
['05520', '05520_0000035_cnn_inception100.csv', '0.00126323']
['05844', '05844_0003772_cnn_inception100.csv', '0.00568104']
['05911', '05911_0000043_cnn_inception100.csv', '0.0101927']
['05512', '05512_0005581_cnn_inception100.csv', '3.13269e-05']
['05825', '05825_0000114_cnn_inception100.csv', '0.000552244']
['06306', '06306_0000233_cnn_inception100.csv', '0.00234526']
['06232', '06232_0004601_cnn_inception100.csv', '0.00176623']
['06053', '06053_0003724_cnn_inception100.csv', '0.0459207']
['06251', '06251_0026013_cnn_inception100.csv', '0.00154745']
['06703', '06703_0011037_cnn_inception100.csv', '0.000960315']
['06685', '06685_0002397_cnn_inception100.csv', '0.00210206']
['06646', '06646_0004473_cnn_inception100.csv', '0.013782']
['06840', '06840_0014963_cnn_inception100.csv', '0.0246045']
['06786', '06786_0003768_cnn_inception100.csv', '0.000668208']
['06927', '06927_0006369_cnn_inception100.csv', '0.00134807']
['06938', '06938_0000195_cnn_inception100.csv', '0.00161159']
['06914', '06914_0002399_cnn_inception100.csv', '0.00577819']
['07081', '07081_0046876_cnn_inception100.csv', '0.0041214']
['07144', '07144_0006995_cnn_inception100.csv', '0.0103581']
['07295', '07295_0005493_cnn_inception100.csv', '0.00345052']
