['00280', '00280_0003839_cnn_inception100.csv', '1.59188e-05']
['00998', '00998_0000912_cnn_inception100.csv', '0.00171878']
['00840', '00840_0003329_cnn_inception100.csv', '1.01877e-05']
['01294', '01294_0003101_cnn_inception100.csv', '0.00167281']
['01797', '01797_0000702_cnn_inception100.csv', '0.0014836']
['01614', '01614_0005861_cnn_inception100.csv', '0.002784']
['01902', '01902_0001548_cnn_inception100.csv', '0.00236403']
['02562', '02562_0001586_cnn_inception100.csv', '0.00110166']
['02986', '02986_0000274_cnn_inception100.csv', '0.00206043']
['02727', '02727_0007040_cnn_inception100.csv', '0.000210068']
['02860', '02860_0005658_cnn_inception100.csv', '0.00237935']
['02420', '02420_0009129_cnn_inception100.csv', '2.64348e-06']
['02316', '02316_0004114_cnn_inception100.csv', '0.00247791']
['03018', '03018_0002357_cnn_inception100.csv', '0.00266854']
['03248', '03248_0004691_cnn_inception100.csv', '0.00417325']
['03440', '03440_0003526_cnn_inception100.csv', '0.00134148']
['04221', '04221_0002420_cnn_inception100.csv', '0.0027411']
['04141', '04141_0026832_cnn_inception100.csv', '6.96991e-06']
['04604', '04604_0000111_cnn_inception100.csv', '1.83669e-05']
['04800', '04800_0013069_cnn_inception100.csv', '0.00297833']
['05313', '05313_0003240_cnn_inception100.csv', '0.00117189']
['05367', '05367_0000731_cnn_inception100.csv', '0.00187496']
['05712', '05712_0004599_cnn_inception100.csv', '0.00106089']
['06403', '06403_0001708_cnn_inception100.csv', '0.00252073']
['06548', '06548_0016036_cnn_inception100.csv', '0.000736925']
['06739', '06739_0012133_cnn_inception100.csv', '0.00200581']
['06997', '06997_0006592_cnn_inception100.csv', '0.00314751']
['06595', '06595_0016682_cnn_inception100.csv', '0.00106834']
['06819', '06819_0005713_cnn_inception100.csv', '0.00285185']
['07220', '07220_0005828_cnn_inception100.csv', '6.1422e-08']
