['00258', '00258_0013322_cnn_inception100.csv', '8.00285e-05']
['00372', '00372_0001465_cnn_inception100.csv', '0.00265981']
['00908', '00908_0002203_cnn_inception100.csv', '0.00174736']
['00937', '00937_0003918_cnn_inception100.csv', '0.00291358']
['00772', '00772_0001822_cnn_inception100.csv', '0.000509519']
['00812', '00812_0004846_cnn_inception100.csv', '3.08824e-05']
['01069', '01069_0000926_cnn_inception100.csv', '0.000870603']
['01459', '01459_0001444_cnn_inception100.csv', '0.0044218']
['01213', '01213_0000455_cnn_inception100.csv', '0.177783']
['02931', '02931_0003569_cnn_inception100.csv', '0.00489104']
['03449', '03449_0005391_cnn_inception100.csv', '0.00542522']
['04379', '04379_0002922_cnn_inception100.csv', '0.00139961']
['04184', '04184_0001757_cnn_inception100.csv', '0.018968']
['04999', '04999_0057621_cnn_inception100.csv', '0.000489773']
['04830', '04830_0002589_cnn_inception100.csv', '0.00347552']
['05518', '05518_0008484_cnn_inception100.csv', '0.00131225']
['05793', '05793_0001093_cnn_inception100.csv', '9.23228e-05']
['06470', '06470_0003253_cnn_inception100.csv', '0.000503499']
['06791', '06791_0005151_cnn_inception100.csv', '0.00178622']
['07058', '07058_0010426_cnn_inception100.csv', '5.20012e-05']
['07340', '07340_0006766_cnn_inception100.csv', '0.00118549']
