['00267', '00267_0005136_cnn_inception100.csv', '2.52654e-06']
['00280', '00280_0003839_cnn_inception100.csv', '1.08433e-05']
['00595', '00595_0003952_cnn_inception100.csv', '1.75793e-07']
['00825', '00825_0002477_cnn_inception100.csv', '2.24222e-06']
['01395', '01395_0005052_cnn_inception100.csv', '5.28908e-05']
['01639', '01639_0009790_cnn_inception100.csv', '1.08378e-07']
['01554', '01554_0000394_cnn_inception100.csv', '5.55702e-07']
['02705', '02705_0005628_cnn_inception100.csv', '0.00105206']
['02876', '02876_0000707_cnn_inception100.csv', '3.24611e-07']
['02841', '02841_0000934_cnn_inception100.csv', '2.26371e-06']
['02772', '02772_0006140_cnn_inception100.csv', '3.25967e-06']
['02730', '02730_0004914_cnn_inception100.csv', '3.56577e-05']
['02712', '02712_0001041_cnn_inception100.csv', '5.33894e-07']
['02359', '02359_0008508_cnn_inception100.csv', '1.59306e-08']
['02420', '02420_0009129_cnn_inception100.csv', '0.00019596']
['02386', '02386_0002720_cnn_inception100.csv', '0.00676573']
['02355', '02355_0006349_cnn_inception100.csv', '0.00211787']
['02048', '02048_0004849_cnn_inception100.csv', '0.00252642']
['02370', '02370_0008146_cnn_inception100.csv', '0.015976']
['03031', '03031_0005341_cnn_inception100.csv', '1.87874e-07']
['03670', '03670_0005032_cnn_inception100.csv', '0.00133279']
['03799', '03799_0005028_cnn_inception100.csv', '4.10286e-06']
['04364', '04364_0004133_cnn_inception100.csv', '2.59451e-05']
['04420', '04420_0000145_cnn_inception100.csv', '0.000800012']
['04604', '04604_0000111_cnn_inception100.csv', '1.687e-05']
['04800', '04800_0013069_cnn_inception100.csv', '0.000906818']
['05348', '05348_0003348_cnn_inception100.csv', '0.00169195']
['05288', '05288_0001650_cnn_inception100.csv', '0.00139886']
['05221', '05221_0000918_cnn_inception100.csv', '0.00515632']
['05917', '05917_0004888_cnn_inception100.csv', '4.33691e-07']
['06171', '06171_0010781_cnn_inception100.csv', '7.14886e-08']
['06040', '06040_0000253_cnn_inception100.csv', '0.00142695']
['06116', '06116_0005913_cnn_inception100.csv', '0.00435826']
['06548', '06548_0016036_cnn_inception100.csv', '0.0101727']
['06777', '06777_0001086_cnn_inception100.csv', '1.6329e-05']
['07072', '07072_0004570_cnn_inception100.csv', '1.37616e-06']
['07220', '07220_0005828_cnn_inception100.csv', '9.04787e-06']
