['00036', '00036_0036693_cnn_inception100.csv', '0.00151016']
['00172', '00172_0000632_cnn_inception100.csv', '0.00229827']
['00390', '00390_0005994_cnn_inception100.csv', '0.00421171']
['00041', '00041_0001458_cnn_inception100.csv', '0.00050323']
['00032', '00032_0007466_cnn_inception100.csv', '0.00190643']
['00113', '00113_0010387_cnn_inception100.csv', '0.000618973']
['00284', '00284_0000909_cnn_inception100.csv', '0.000720394']
['00505', '00505_0004904_cnn_inception100.csv', '0.00146632']
['00819', '00819_0011704_cnn_inception100.csv', '0.00528597']
['00697', '00697_0002391_cnn_inception100.csv', '0.00403796']
['01295', '01295_0008246_cnn_inception100.csv', '0.00216237']
['01367', '01367_0001063_cnn_inception100.csv', '0.00399919']
['01938', '01938_0001587_cnn_inception100.csv', '0.000877334']
['02830', '02830_0023922_cnn_inception100.csv', '0.00248814']
['02717', '02717_0011905_cnn_inception100.csv', '0.00691568']
['02288', '02288_0005712_cnn_inception100.csv', '0.000253526']
['02490', '02490_0003311_cnn_inception100.csv', '0.00150818']
['02268', '02268_0007275_cnn_inception100.csv', '0.00708369']
['03487', '03487_0002413_cnn_inception100.csv', '0.00229046']
['03254', '03254_0003292_cnn_inception100.csv', '0.00387679']
['03230', '03230_0016424_cnn_inception100.csv', '0.00427747']
['03116', '03116_0002839_cnn_inception100.csv', '0.00618456']
['03778', '03778_0006659_cnn_inception100.csv', '0.000590536']
['04066', '04066_0008198_cnn_inception100.csv', '0.00226637']
['04137', '04137_0000899_cnn_inception100.csv', '0.000120618']
['04668', '04668_0007365_cnn_inception100.csv', '0.000145198']
['04903', '04903_0021474_cnn_inception100.csv', '0.00312526']
['05285', '05285_0004917_cnn_inception100.csv', '0.00108198']
['05138', '05138_0003517_cnn_inception100.csv', '0.00183207']
['05611', '05611_0006567_cnn_inception100.csv', '0.00122877']
['06654', '06654_0008551_cnn_inception100.csv', '0.000740515']
['06780', '06780_0004468_cnn_inception100.csv', '0.00348469']
['06818', '06818_0001966_cnn_inception100.csv', '0.000675951']
['07011', '07011_0031687_cnn_inception100.csv', '0.00105116']
['07380', '07380_0000634_cnn_inception100.csv', '0.00223787']
['07066', '07066_0000439_cnn_inception100.csv', '0.00187827']
['07401', '07401_0004344_cnn_inception100.csv', '0.000161949']
