['00272', '00272_0004488_cnn_inception100.csv', '4.8866e-05']
['00629', '00629_0002725_cnn_inception100.csv', '0.0131268']
['01439', '01439_0011344_cnn_inception100.csv', '0.000763']
['01176', '01176_0003016_cnn_inception100.csv', '0.00163112']
['01088', '01088_0002648_cnn_inception100.csv', '0.006879']
['01875', '01875_0000508_cnn_inception100.csv', '0.00117175']
['01610', '01610_0003017_cnn_inception100.csv', '3.25646e-05']
['02836', '02836_0001135_cnn_inception100.csv', '0.0168981']
['02936', '02936_0005954_cnn_inception100.csv', '0.00249613']
['02021', '02021_0004124_cnn_inception100.csv', '0.000685517']
['02417', '02417_0002783_cnn_inception100.csv', '0.0115051']
['02051', '02051_0006530_cnn_inception100.csv', '0.00312306']
['02310', '02310_0009359_cnn_inception100.csv', '0.00152025']
['02363', '02363_0006732_cnn_inception100.csv', '0.00750222']
['02339', '02339_0006937_cnn_inception100.csv', '0.0026022']
['02097', '02097_0048895_cnn_inception100.csv', '0.00742075']
['02055', '02055_0002597_cnn_inception100.csv', '0.00606898']
['02009', '02009_0001077_cnn_inception100.csv', '0.00543273']
['02313', '02313_0017423_cnn_inception100.csv', '0.00233025']
['03212', '03212_0003254_cnn_inception100.csv', '0.00143854']
['03092', '03092_0002023_cnn_inception100.csv', '0.0278169']
['03425', '03425_0000228_cnn_inception100.csv', '0.00172111']
['03232', '03232_0009846_cnn_inception100.csv', '0.00227781']
['03597', '03597_0005236_cnn_inception100.csv', '0.00609887']
['04066', '04066_0008198_cnn_inception100.csv', '0.00553486']
['04254', '04254_0002401_cnn_inception100.csv', '0.00832292']
['04043', '04043_0004635_cnn_inception100.csv', '0.00219287']
['04808', '04808_0004409_cnn_inception100.csv', '0.0142104']
['04513', '04513_0004555_cnn_inception100.csv', '0.00163522']
['04916', '04916_0008328_cnn_inception100.csv', '0.000982686']
['05340', '05340_0029950_cnn_inception100.csv', '0.00521266']
['05451', '05451_0006334_cnn_inception100.csv', '0.00487647']
['05020', '05020_0000859_cnn_inception100.csv', '0.00181063']
['05925', '05925_0005099_cnn_inception100.csv', '0.00972079']
['05534', '05534_0020374_cnn_inception100.csv', '0.1275']
['05612', '05612_0002606_cnn_inception100.csv', '0.00524206']
['06285', '06285_0009954_cnn_inception100.csv', '0.00366421']
['06365', '06365_0002829_cnn_inception100.csv', '0.0445591']
['06054', '06054_0003666_cnn_inception100.csv', '0.00135752']
['06932', '06932_0000844_cnn_inception100.csv', '0.000896014']
['06786', '06786_0003768_cnn_inception100.csv', '0.00401116']
